NPA,Violent_Crime_Rate_2016,Violent_Crimes_2016,Violent_Crime_Rate_2015,Violent_Crimes_2015,Violent_Crime_Rate_2013,Violent_Crimes_2013,Violent_Crime_Rate_2011,Violent_Crimes_2011,Property_Crime_Rate_2016,Property_Crimes_2016,Property_Crime_Rate_2015,Property_Crimes_2015,Property_Crime_Rate_2013,Property_Crimes_2013,Property_Crime_Rate_2011,Property_Crimes_2011,Disorder_Call_Rate_2016,Disorder_Calls_2016,Disorder_Call_Rate_2015,Disorder_Calls_2015,Disorder_Call_Rate_2013,Disorder_Calls_2013,Animal_Control_Call_Rate_2016,Animal_Control_Calls_2016,Animal_Control_Call_Rate_2015,Animal_Control_Calls_2015,Animal_Control_Call_Rate_2013,Animal_Control_Calls_2013,Animal_Control_Call_Rate_2011,Animal_Control_Calls_2011,Fire_Call_Rate_2016,Fire_Calls_2016,Fire_Call_Rate_2015,Fire_Calls_2015,Fire_Call_Rate_2013,Fire_Calls_2013,Nuisance_Violations_2016,Nuisance_Violations_Total_2016,Nuisance_Violations_2015,Nuisance_Violations_Total_2015,Nuisance_Violations_2013,Nuisance_Violations_Total_2013
371,26.1,159,14.4,86,19.8,114,11.8,88,83.4,508,82.5,493,78.8,454,66.92,498,397.1,2418,407.5,2435,396.9,2288,75.1,457,75.1,480,118.1,681,110.2,820,48.1,293,47,281,36.4,210,26.8,604,32.7,738,25.3,570
372,0.3,4,0.4,5,0.7,8,0.4,4,8,95,5.9,70,7.2,84,8.99,100,25.1,298,26.7,314,25.3,297,12.7,151,12.7,199,17.6,207,28.3,315,23.1,274,18.9,223,15.3,180,1.5,66,2.1,94,1.2,54
373,0,0,0,0,0,0,0,0,11.4,29,15.1,38,13.2,33,7.54,18,31.8,81,28.7,72,36,90,29.4,75,29.4,94,34.8,87,40.2,96,25.1,64,36.2,91,33.2,83,3.4,38,4.8,53,1.5,17
374,29.8,75,23.7,59,20.5,51,23.4,53,77,194,68,169,67.3,167,75.8,172,449.6,1133,540,1343,354,879,79,199,79,269,116.8,290,139.3,316,69.8,176,76.8,191,66.9,166,24.6,280,29.4,335,34.6,393
375,0,0,0,0,0.4,1,0,0,12.1,29,5,12,5.9,14,7.26,18,35.3,85,38.7,93,43.9,104,22.4,54,22.4,55,18.1,43,18.1,45,22,53,22.9,55,13.9,33,0.9,8,2,17,0.5,4
376,1,4,1.5,6,2,8,1.7,6,18,75,18.3,73,16.5,65,29.71,108,64.4,268,71.1,284,68,268,38.9,162,38.9,193,38.6,152,43.5,158,32.2,134,27.5,110,12.9,51,7.8,118,6.5,95,7.2,105
377,1.2,7,1.1,6,1.1,6,0.6,3,10,57,10.6,59,11.3,62,9.43,47,41,233,35.2,197,38.5,212,25,142,25,135,23.4,129,26.3,131,18.1,103,13.1,73,14.2,78,4.3,88,3.3,67,2.7,54
378,4.3,19,0.7,3,4.3,18,2,8,30.5,134,24.4,106,30.7,130,37.57,150,143.7,632,160.7,699,154,652,44.8,197,44.8,222,40.2,170,74.9,299,33.9,149,32.9,143,26.2,111,6.8,147,8.3,179,8.8,185
379,0.2,1,0.2,1,0,0,0,0,8.6,36,5,21,8.9,37,5.96,24,25.6,108,28.1,118,22.4,93,12.1,51,12.1,52,19,79,14.2,57,13.3,56,11.7,49,11.5,48,0.4,5,1,13,0.2,3
380,0,0,0,0,0,0,0.4,2,4.7,27,6.1,35,3.9,22,5.9,32,16.3,93,15.2,87,18.1,103,17.7,101,17.7,116,25.6,146,21.8,118,14,80,15,86,10.2,58,2,37,2.8,52,1.3,23
381,3.3,12,3.2,10,2.9,9,4.1,12,41.2,151,49.8,154,53.4,164,36.48,107,126.2,462,164.3,508,183,562,34.1,125,34.1,113,39.7,122,62.1,182,24.9,91,20.7,64,22.8,70,4.2,86,4.1,72,6.4,111
382,16.2,49,8.9,27,9.6,29,10.9,30,43.5,132,40.3,123,46.8,141,45.98,127,226.5,687,227.2,693,219.9,663,72.2,219,72.2,199,71.3,215,95.9,265,37.3,113,36.4,111,21.9,66,49.8,456,54.4,506,46.7,436
383,10.2,42,4.9,20,7.4,30,5.6,21,39.2,162,36.7,150,28.2,115,40.3,150,177.7,735,164.7,674,137.1,559,44.3,183,44.3,184,52.7,215,66.4,247,28.3,117,30.3,124,22.3,91,12.1,193,33.5,533,7.1,113
384,9.3,34,8.5,31,6.7,21,7.1,16,82.5,301,63.1,231,58.3,182,79.8,179,400.2,1460,347.2,1271,258.5,807,20,73,20,49,16.7,52,32.6,73,76.5,279,62.8,230,84.6,264,0.4,8,3.9,70,1,14
385,21.2,103,17.5,84,13.5,59,10.2,46,47.6,231,47.6,229,54,236,60.34,273,303.7,1474,284.8,1370,323.7,1415,81.8,397,81.8,407,130.2,569,108.5,491,43.7,212,35.5,171,42.1,184,19.4,384,18.1,360,27.6,556
386,7.2,14,8.2,16,14.2,27,5.1,8,59.2,116,53.7,105,55.3,105,84.83,132,267.6,524,215.9,422,294,558,57.2,112,57.2,115,122.8,233,133,207,43.4,85,37.3,73,22.7,43,21.2,178,51,431,43.2,366
387,24.8,57,24.9,58,21.5,49,13.2,33,151.8,349,156.4,364,158.6,362,166.2,416,569.4,1309,569.4,1325,582.4,1329,130.1,299,130.1,276,138,315,123.9,310,97,223,114.3,266,93.3,213,15,141,32.4,306,16.1,152
388,10.1,21,10.7,22,15.6,27,14.9,22,82.9,172,58.5,120,66,114,78.07,115,313.3,650,323.4,664,342,591,48.2,100,48.2,139,113.4,196,122.9,181,51.6,107,44.3,91,37,64,20.6,203,19.7,192,10.6,88
389,6.5,61,4.9,46,4.1,36,4.2,37,27.3,257,24.8,232,25.8,228,26.88,239,113.5,1070,114.1,1068,107.9,952,39.1,368,39.1,421,55.6,491,61.5,547,24.6,232,25.3,237,22.2,196,12.9,461,22.6,805,17,607
390,2.7,4,0.7,1,5.4,8,6.4,9,31.8,47,57.9,85,48.1,71,38.65,54,188.5,279,234.3,344,227.1,335,31.8,47,31.8,83,50.9,75,67.3,94,29.7,44,36.8,54,24.4,36,11.9,93,15.6,122,8.1,64
