NPA,Violent_Crime_Rate_2016,Violent_Crimes_2016,Violent_Crime_Rate_2015,Violent_Crimes_2015,Violent_Crime_Rate_2013,Violent_Crimes_2013,Violent_Crime_Rate_2011,Violent_Crimes_2011,Property_Crime_Rate_2016,Property_Crimes_2016,Property_Crime_Rate_2015,Property_Crimes_2015,Property_Crime_Rate_2013,Property_Crimes_2013,Property_Crime_Rate_2011,Property_Crimes_2011,Disorder_Call_Rate_2016,Disorder_Calls_2016,Disorder_Call_Rate_2015,Disorder_Calls_2015,Disorder_Call_Rate_2013,Disorder_Calls_2013,Animal_Control_Call_Rate_2016,Animal_Control_Calls_2016,Animal_Control_Call_Rate_2015,Animal_Control_Calls_2015,Animal_Control_Call_Rate_2013,Animal_Control_Calls_2013,Animal_Control_Call_Rate_2011,Animal_Control_Calls_2011,Fire_Call_Rate_2016,Fire_Calls_2016,Fire_Call_Rate_2015,Fire_Calls_2015,Fire_Call_Rate_2013,Fire_Calls_2013,Nuisance_Violations_2016,Nuisance_Violations_Total_2016,Nuisance_Violations_2015,Nuisance_Violations_Total_2015,Nuisance_Violations_2013,Nuisance_Violations_Total_2013
462,0.4,1,0.5,1,1,2,2.2,4,12.9,29,4.2,9,21.2,43,10.22,19,31.5,71,39.8,85,,,,,,,,,,,15.5,35,12.7,27,13.8,28,,,,,,
463,1.7,4,5,12,1.3,3,1.9,4,18,43,5,12,32.8,78,17.22,37,43.1,103,37.6,90,,,,,,,,,,,20.1,48,13.4,32,16.8,40,,,,,,
464,0.8,3,1.7,6,0.3,1,0.3,1,9.8,35,1.7,6,31.3,110,17.65,56,17.1,61,18.5,66,,,,,,,,,,,14,50,13.8,49,10.2,36,,,,,,
465,0,0,0.8,1,1.6,2,,,8.8,11,12,15,19.2,24,10.92,14,,,47.1,59,,,12,15,12,27,0.8,1,,,18.4,23,10.4,13,20.8,26,,,1.4,7,,
466,0.4,1,1.2,3,0.8,2,1.3,3,7.3,19,2.7,7,30.2,76,22.99,54,20.1,52,18,46,,,,,,,,,,,15.8,41,16,41,13.1,33,,,,,,
467,1.9,4,0.9,2,0,0,1.6,3,70.1,152,0.9,2,18.1,39,15.1,29,10.2,22,6.9,15,,,,,,,,,,,17.1,37,14.8,32,9.7,21,,,,,,
468,0,0,0,0,0,0,,,1.2,2,0,0,0.5,1,,,1.8,3,3.7,7,1.6,3,3.6,6,3.6,1,0.5,1,,,23.4,39,27.1,51,20.6,39,,,,,,
469,0,0,0.5,1,0.5,1,,,1.1,2,14.3,27,3.7,7,,,25,47,27.5,52,27.3,51,9.6,18,9.6,32,7,13,,,14.4,27,16.9,32,13.4,25,,,,,,
470,3.9,9,0,0,1.3,3,0.6,1,5.6,13,8.6,20,12,28,28.81,51,48.4,113,24.4,57,65.4,153,7.7,18,7.7,42,15,35,,,12.8,30,14.1,33,14.1,33,0.1,1,0.5,5,0.4,4
471,3.3,9,1.4,4,1.4,4,0.8,2,23.5,65,22.4,62,18.7,52,40.1,99,71.5,198,62.8,174,113.8,316,14.5,40,14.5,66,35.7,99,,,16.3,45,24.9,69,18.4,51,1.1,14,0.9,11,2.6,33
472,0.8,1,0,0,0,0,0,0,3,4,2.3,3,12.4,16,6.14,7,10.6,14,8.4,11,52.7,68,22.8,30,22.8,16,84.5,109,,,12.2,16,10.7,14,10.1,13,3.1,17,1.9,10,1.1,6
473,2.7,6,3.5,8,2.2,5,,,15.5,35,15.8,36,15.7,35,,,98.9,224,95.3,217,94,210,8.4,19,8.4,43,21.9,49,,,28.7,65,33,75,25.5,57,,,,,,
474,5.4,13,0.8,2,1.3,3,1.8,4,10,24,10.5,25,21.8,52,27.61,60,54,129,29.3,70,111.3,265,17.2,41,17.2,69,51.6,123,,,15.9,38,16.3,39,15.1,36,0.5,6,1.7,20,0.6,7
475,0.4,1,0,0,0,0,,,5.9,16,7,19,6.9,18,,,22,60,23.6,64,25.9,68,1.5,4,1.5,35,3.4,9,,,12.5,34,17,46,13,34,,,,,,
