NPA,Housing_Density_2017,Housing_Units_2017,Housing_Density_2016,Housing_Units_2016,Housing_Density_2015,Housing_Units_2015,Housing_Density_2013,Housing_Units_2013,Housing_Density_2011,Housing_Units_2011,Single_Family_Housing_2017,Single_Family_Units_2017,Single_Family_Housing_2016,Single_Family_Units_2016,Single_Family_Housing_2015,Single_Family_Units_2015,Single_Family_Housing_2013,Single_Family_Units_2013,Single_Family_Housing_2011,Single_Family_Units_2011,Housing_Size_2017,Housing_Size_2016,Housing_Size_2015,Housing_Size_2013,Housing_Size_2011,Housing_Age_2017,Housing_Age_2016,Housing_Age_2015,Housing_Age_2013,Housing_Age_2011,Rental_Houses_2016,Rental_Houses_Units_2016,Rental_Houses_2015,Rental_Houses_Units_2015,Rental_Houses_2013,Rental_Houses_Units_2013,New_Residential_2017,New_Residential_Permit_Units_2017,New_Residential_2016,New_Residential_Permit_Units_2016,New_Residential_2015,New_Residential_Permit_Units_2015,New_Residential_2014,New_Residential_Permit_Units_2014,New_Residential_2013,New_Residential_Permit_Units_2013,New_Residential_2012,New_Residential_Permit_Units_2012,New_Residential_2011,New_Residential_Permit_Units_2011,Residential_Renovation_2017,Residential_Renovation_Permit_Units_2017,Residential_Renovation_2016,Residential_Renovation_Permit_Units_2016,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Residential_Renovation_2014,Residential_Renovation_Permit_Units_2014,Residential_Renovation_2013,Residential_Renovation_Permit_Units_2013,Residential_Renovation_2012,Residential_Renovation_Permit_Units_2012,Residential_Renovation_2011,Residential_Renovation_Permit_Units_2011,Foreclosures_2016,Foreclosed_Units_2016,Foreclosures_2015,Foreclosed_Units_2015,Foreclosures_2013,Foreclosed_Units_2013,Foreclosures_2011,Foreclosed_Units_2011,Home_Sales_Price_2015,Home_Sales_Price_2013,Housing_Violations_2016,Housing_Violations_Total_2016,Housing_Violations_2015,Housing_Violations_Total_2015,Housing_Violations_2013,Housing_Violations_Total_2013,Housing_Violations_2011,Housing_Violations_Total_2011,Subsidized_Housing_2013,Subsidized_Housing_Units_2013,Home_Ownership_2015,Home_Ownership_moe_2015,Residential_Occupancy_2014,Residential_Occupancy_moe_2014,Rental_Costs_2014,Rental_Costs_moe_2014
271,2.6,446,2.7,448,2.7,448,2.7,448,2.7,448,100,446,100,448,100,448,100,448,100,448,1424,1424,1423,1411,1411,47,46,45,43,41,30,133,28,126,27,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,8,5.32,9,4.73,8,1.77,3,1.77,3,2.95,5,4.73,8,0.7,3,2.2,10,2,9,1.1,5,77062,67214,2.9,13,3.13,14,2.46,11,1.34,6,0,0,80,16,95,3,689,647
272,1.5,780,1.5,780,1.5,780,1.5,780,1.5,780,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.13,1,2.82,22,0.26,2,0.26,2,0,0,0,2,93,8,853,43
273,1.2,720,1.2,718,1.2,718,1.2,695,1.1,685,90,648,90,646,90,646,90,623,89,613,1965,1964,1964,1975,1974,13,12,11,9,7,24,153,22,141,18,114,8.93,54,3.64,22,0.33,2,0,0,57.69,349,0.66,4,0.5,3,0.17,1,0.5,3,0.66,4,0.17,1,0.5,3,0.17,1,0.33,2,1.7,12,3.9,28,2.4,17,3.5,24,136877,121603,0.14,1,0.28,2,0.14,1,0.15,1,0,0,78,13,81,10,1125,62
274,4.6,554,4.6,554,4.6,554,4.6,554,4.6,554,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,96,12,943,67
275,2.3,895,2.3,895,2.3,895,2.3,895,2.3,895,50,445,50,445,50,445,50,445,50,445,2787,2783,2778,2765,2754,26,25,24,22,20,10,44,9,41,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,4,1.79,7,2.05,8,1.79,7,2.82,11,1.54,6,1.28,5,0.4,2,0.7,3,1.6,7,0.7,3,260786,228167,0.11,1,0.11,1,0.45,4,0,0,6,55,47,9,91,9,946,119
276,1.6,669,1.6,668,1.6,668,1.6,668,1.6,669,100,669,100,668,100,668,100,668,100,669,2157,2155,2158,2154,2152,21,20,19,17,15,17,113,16,105,14,94,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,1.95,8,1.46,6,2.19,9,2.44,10,1.46,6,1.95,8,0.98,4,0.3,2,1.4,9,1.5,10,1.6,11,175509,158891,0.45,3,0,0,0,0,0,0,0,0,68,9,100,0,1708,64
277,0.9,792,0.8,740,0.7,665,0.7,602,0.6,533,100,791,100,737,100,665,100,602,100,533,2206,2189,2113,2099,2037,14,14,14,14,13,18,131,17,113,17,100,6.09,56,1.41,13,6.19,57,8.25,76,5.43,50,4.23,39,2.61,24,5.76,53,0.76,7,0.22,2,0.22,2,0.33,3,0.22,2,0.65,6,0.7,5,1.5,10,1,6,1.5,8,185769,180875,0.14,1,0.15,1,0,0,0,0,0,0,85,8,95,6,1623,341
278,4.9,852,4.9,852,4.9,852,4.9,852,4.9,841,18,156,18,155,18,156,18,156,17,145,2140,2143,2140,2140,2114,15,13,13,11,9,22,34,19,29,13,20,0,0,0,0,0,0,0,0,0.58,1,0,0,9.25,16,0.58,1,0.58,1,0,0,0.58,1,0,0,0,0,1.15,2,1.9,3,1.9,3,1.9,3,2.1,3,153083,147938,0,0,0.12,1,0.23,2,0,0,0,0,24,9,83,5,1048,57
279,7.4,870,7.4,870,7.4,870,7.4,870,7.4,870,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1,0,0,0,0,0,0,81.32,96,0,0,0.8,3,1.1,4,0.8,3,2.1,8,106594,105393,0.11,1,0.11,1,0.23,2,0,0,0,0,20,8,94,4,999,63
280,0.5,408,0.4,409,0.5,408,0.4,398,0.4,401,100,408,83,340,100,408,100,398,100,401,1524,1559,1525,1513,1502,25,22,23,21,20,35,120,36,147,35,141,0.11,1,0.11,1,0,0,0.22,2,0.11,1,0,0,0,0,0.33,3,0.98,9,0.76,7,0.33,3,0.22,2,0.33,3,0.22,2,2.5,10,3.9,16,2.5,10,2.8,11,85500,72033,2.44,10,1.96,8,1.26,5,0.25,1,0,0,52,15,94,5,801,100
281,2.6,482,2.6,482,2.6,482,2.6,482,2.5,461,1,5,1,5,1,5,1,5,0,2,1487,1487,1487,1487,,36,35,34,32,,20,1,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,3,0,0,0,0,0,0,18.17,34,0,0,2.8,8,0.7,2,2.1,6,2.1,6,112354,109545,0.41,2,0.41,2,0.21,1,0,0,0,0,46,13,91,10,1152,52
282,1.5,537,1.5,514,1.5,505,1.4,501,1.4,483,100,536,100,514,100,505,100,501,100,483,1820,1845,1826,1819,1798,20,20,20,18,16,23,116,20,99,18,90,1.15,4,2.87,10,5.46,19,1.44,5,0.57,2,2.59,9,2.3,8,0.57,2,1.15,4,0.86,3,1.43,5,0.86,3,0.86,3,0.57,2,1,5,2,10,2.6,13,1.5,7,132778,130734,0.78,4,0.4,2,0.2,1,0,0,0,0,77,15,100,0,1261,253
283,2.4,1054,2.4,1050,2.4,1050,2.4,1052,2.4,1057,80,846,80,842,80,842,80,844,80,849,1623,1625,1625,1621,1615,25,24,23,21,19,25,209,23,196,22,189,0.23,1,0.23,1,0.92,4,0,0,0.23,1,0,0,0.46,2,1.84,8,3.45,15,0.23,1,1.84,8,1.15,5,0.46,2,1.61,7,0.8,8,2.5,25,1.3,13,1.4,14,126134,123491,0.86,9,0.76,8,0.67,7,0.19,2,2,22,70,9,91,7,1161,211
284,0.3,294,0.3,288,0.3,287,0.3,289,0.3,289,100,294,100,288,100,287,100,289,100,289,3905,3971,3918,3890,3868,21,20,20,18,16,7,20,5,15,6,17,37.72,359,2.52,24,40.02,381,0.53,5,0,0,0,0,0,0,1.47,14,2,19,0.95,9,1.79,17,1.26,12,0.63,6,0.63,6,0.3,1,0.4,1,0.7,2,0.4,1,501960,517232,0,0,0,0,0,0,0,0,0,0,100,0,100,0,,
285,0,17,0,16,0,16,0,15,0,15,100,17,100,16,100,16,100,15,100,15,562,597,597,495,495,17,16,15,14,12,100,16,6,1,100,15,0,0,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,
286,0.1,80,0,80,0.1,84,0.1,85,0.1,91,100,80,53,42,100,84,100,85,100,91,1461,1499,1458,1453,1457,43,52,41,39,38,31,13,25,21,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,2,0,0,0,0,0,0,0,0,0.06,1,0,0,0,0,1.2,1,0,0,,,0,0,1.19,1,2.35,2,0,0,0,0,73,19,100,0,630,326
287,0.8,1214,0.8,1215,0.8,1232,0.8,1232,0.8,1177,4,49,4,50,4,48,4,48,4,49,1559,1539,1480,1480,1513,46,46,51,49,48,50,25,52,25,52,25,0,0,0.06,1,0,0,0.32,5,0.84,13,0,0,0,0,0.19,3,0.06,1,0.19,3,0.06,1,0,0,0.06,1,0.13,2,0,0,0,0,0,0,0,0,161647,146800,,,,,,,,,0,0,4,3,93,5,968,34
288,1.7,995,1.7,995,1.7,992,1.7,976,1.7,975,64,638,64,639,64,636,64,620,64,620,2449,2446,2435,2408,2405,34,33,33,32,30,8,51,8,48,9,56,0.35,2,0.7,4,0,0,3.3,19,0.17,1,0,0,0.17,1,2.61,15,4.35,25,2.78,16,2.26,13,2.26,13,2.26,13,5.39,31,0.1,1,0.4,3,0.2,1,0.3,2,283992,283283,,,,,,,,,0,0,68,7,97,3,913,67
289,1,1312,1,1303,1,1290,1,1288,1,1283,100,1312,100,1300,100,1290,100,1288,100,1283,2019,2006,1994,1994,1986,16,15,14,12,10,16,214,15,187,12,152,5.32,67,1.43,18,1.27,16,0.8,10,0.16,2,0.08,1,0.95,12,0.4,5,0.64,8,0.64,8,0.56,7,0.32,4,1.35,17,0.48,6,0.2,2,1.3,17,1.6,21,1.3,16,170982,162425,0.08,1,0.31,4,0.08,1,0,0,0,0,77,6,94,4,1325,101
290,0.5,412,0.5,411,0.5,416,0.5,416,0.5,416,55,227,100,410,100,416,100,416,100,418,1033,778,783,784,784,66,65,64,52,50,31,127,29,120,30,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,4,0.71,6,0.47,4,0.47,4,0,0,0.24,2,0.36,3,1.4,3,1.4,3,0,0,1.4,3,,,2.92,12,1.44,6,0.96,4,0.72,3,0,0,64,17,95,15,545,518
291,6.8,998,6.8,998,6.8,998,6.8,998,6.8,998,16,162,16,162,16,162,16,162,16,162,1187,1187,1187,1185,1185,17,16,15,13,11,26,42,22,36,22,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,2,0.68,1,0.68,1,0,0,0.68,1,1.36,2,0,0,1.9,3,1.2,2,1.2,2,72929,,6.81,68,1.9,19,2.3,23,1.1,11,0,0,8,5,76,7,732,18
292,1.3,406,1.3,409,1.4,416,1.4,415,1.4,420,54,220,55,223,55,230,55,229,56,234,1042,1036,1023,1018,1009,38,37,37,36,35,73,162,66,152,76,173,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1,0.98,3,1.96,6,0.98,3,1.96,6,0.98,3,1.31,4,1.96,6,0,0,2,4,1.5,3,2,4,,65800,3.18,13,4.09,17,2.65,11,1.19,5,14,57,22,11,74,16,631,196
293,3.2,351,3.2,354,3.2,355,3.2,354,3.3,359,95,335,96,338,95,339,95,338,96,343,1071,1064,1062,1065,1055,71,70,69,68,66,66,224,58,197,66,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,5,8.18,9,7.27,8,9.09,10,3.64,4,11.82,13,10.91,12,0,0,0.7,2,2.2,6,1.1,3,59300,,7.06,25,7.61,27,6.21,22,6.13,22,0,0,44,21,81,9,861,66
294,1.3,476,1.2,431,1.2,432,1.2,434,1.2,435,34,163,38,165,39,167,41,177,41,178,1089,1092,1085,1058,1056,63,63,61,59,57,62,103,52,87,64,114,0,0,0,0,0,0,12.9,48,0,0,22.85,85,0,0,0.27,1,0.54,2,1.61,6,1.34,5,0.27,1,0,0,0.54,2,0,0,2.3,3,1.4,2,0.7,1,,,3.71,16,6.25,27,5.53,24,1.61,7,0,0,28,20,71,10,720,151
295,4.9,515,4.9,521,4.9,521,4.9,521,4.1,438,49,254,50,260,50,260,50,260,59,260,1240,1230,1231,1230,1227,45,44,43,42,40,35,92,31,80,33,85,0,0,0.94,1,0,0,0,0,0,0,0,0,0,0,1.89,2,4.71,5,3.77,4,2.83,3,0,0,0.94,1,2.83,3,1.3,3,0.9,2,0.9,2,0.4,1,,,2.11,11,1.73,9,1.15,6,0.23,1,51,264,33,8,91,7,692,42
296,0.9,666,0.8,580,0.7,549,0.7,495,0.6,474,100,666,100,578,100,549,100,495,100,474,2772,2802,2668,2668,2667,16,17,18,18,21,10,57,10,57,10,49,10.26,76,4.18,31,11.88,88,7.42,55,7.83,58,1.62,12,2.16,16,4.59,34,1.48,11,0.67,5,0.4,3,0.13,1,0.4,3,1.21,9,0.3,2,1.8,10,0.4,2,1.5,7,189674,172694,0,0,0.18,1,0.2,1,0,0,0,0,93,6,81,3,1650,192
297,1.4,150,1.4,150,1.4,150,1.4,150,1.5,151,100,150,100,150,100,150,100,150,100,151,3397,3387,3378,3373,3374,32,31,30,28,26,3,5,4,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,8,10.57,11,7.69,8,8.65,9,5.77,6,6.73,7,12.49,13,0,0,0,0,0,0,0,0,503300,453077,0,0,0,0,0,0,0,0,0,0,100,0,100,0,,
298,3.2,798,3.2,798,3.2,798,3.2,798,3.2,799,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,2,0,0,0,0,0,0,0,0,0.4,1,0,0,1.3,1,1.3,1,2.5,2,,70600,,,,,,,,,0,0,12,7,91,10,839,66
299,2.6,1251,2.5,1182,2.4,1165,2.4,1149,2.4,1138,60,753,62,728,62,725,62,709,61,698,1719,1652,1651,1635,1631,21,21,20,19,17,23,167,22,157,20,144,11.26,54,17.11,82,11.06,53,3.76,18,2.92,14,0.84,4,2.09,10,1.88,9,1.46,7,0.42,2,0.83,4,1.04,5,0.21,1,2.92,14,0.7,8,2.8,32,1.2,14,2.1,24,108025,108077,0.34,4,0.34,4,0.17,2,0.26,3,0,0,68,12,88,8,1152,55
300,1.2,576,1.2,576,1.2,576,1.2,576,1.2,573,7,38,7,39,7,39,7,39,7,38,2063,2031,2031,2031,1992,35,35,34,32,30,18,7,18,7,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,1,0.21,1,0.21,1,0,0,0.21,1,0.64,3,0,0,0.8,1,0,0,0.9,1,0,0,,242769,,,,,,,,,0,0,16,9,87,12,742,33
301,1.6,840,1.5,808,1.5,792,1.4,765,1.4,736,100,840,100,808,100,792,100,765,100,736,1992,1993,1972,1952,1943,20,20,20,18,17,19,151,19,151,16,121,0,0,0.38,2,5.46,29,3.95,21,4.14,22,2.45,13,1.88,10,2.07,11,0.75,4,1.32,7,2.45,13,0.38,2,0.57,3,1.51,8,0.6,5,1.9,15,1.4,11,1,7,162788,139714,0.12,1,0.51,4,0.65,5,0.41,3,0,0,93,5,94,4,1250,140
302,3.2,1205,3.2,1205,3.2,1205,3.2,1205,3.2,1205,59,705,59,705,59,705,59,705,59,705,2550,2546,2545,2544,2539,26,25,24,22,20,6,45,7,46,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,19,8.86,33,5.91,22,5.37,20,2.42,9,5.37,20,6.45,24,0.4,3,0.3,2,0.1,1,0.7,5,292486,279921,0.41,5,0.17,2,0.66,8,0.17,2,0,0,57,5,98,1,836,51
303,4.5,898,4.5,898,4.5,898,4.5,898,4.5,898,16,147,16,147,16,147,16,147,16,147,2262,2262,2262,2260,2257,36,35,34,32,30,6,9,7,11,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02,16,3.01,6,2.51,5,2,4,1.5,3,2,4,4.01,8,0,0,0.7,1,0,0,0,0,268812,259538,0.22,2,0.22,2,0,0,0.33,3,6,55,18,6,87,7,885,56
304,5.7,378,5.7,378,5.7,378,5.7,378,5.7,378,2,8,2,8,2,8,2,8,2,8,1118,1088,1088,1088,1088,19,18,17,15,13,25,2,38,3,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,3.01,2,0,0,0,0,0,0,12.5,1,0,0,0,0,12.5,1,,,5.29,20,4.23,16,4.5,17,3.44,13,0,0,4,6,89,11,714,53
305,1.4,409,1.4,408,1.4,410,1.4,410,1.4,406,60,245,60,243,60,246,60,246,60,242,1434,1435,1431,1429,1421,44,43,42,41,39,30,74,30,74,30,74,0.33,1,0,0,0.33,1,0,0,0,0,0,0,1.67,5,0.33,1,0.67,2,1.34,4,1,3,1.34,4,0.67,2,0.67,2,1.7,7,2.4,10,1.5,6,1.5,6,87727,117567,0.98,4,0.73,3,0.98,4,0,0,0,0,56,13,83,11,1056,128
306,0.6,411,0.6,412,0.5,356,0.5,360,0.6,434,12,50,12,51,15,52,16,56,13,58,1116,1098,1091,1082,1065,63,63,64,62,60,63,32,46,24,55,31,0,0,0.15,1,7.34,50,0.15,1,8.37,57,16.3,111,0.29,2,0,0,0,0,0.15,1,0.15,1,0.15,1,0.15,1,0.15,1,0,0,0,0,0,0,0,0,,,2.67,11,3.09,11,2.22,8,3,13,97,350,2,2,87,12,581,68
307,2.8,1442,2.8,1442,2.1,1101,2.1,1103,2.1,1103,55,796,55,796,72,796,72,798,72,798,1585,1580,1578,1579,1575,31,30,29,28,26,18,147,18,140,17,132,0,0,0,0,0,0,0,0,50,258,0,0,0,0,2.52,13,2.91,15,1.94,10,2.52,13,1.36,7,0.97,5,1.36,7,0.6,5,1.3,11,0.8,7,1.1,9,122435,113196,0.35,5,0.54,6,0.18,2,0.18,2,0,0,57,8,100,0,961,122
308,2.1,495,2.1,495,2.1,495,2,481,1.7,414,100,495,100,495,100,495,100,481,100,414,2206,2205,2205,2178,2057,18,17,16,14,14,12,59,11,54,10,48,0,0,0,0,0,0,0,0,10.37,25,14.52,35,11.62,28,2.08,5,3.74,9,2.91,7,1.66,4,1.66,4,3.32,8,3.32,8,0,0,0.4,2,0.4,2,0,0,265588,282736,0.2,1,0,0,0.21,1,0,0,0,0,94,5,99,0,,
309,0.9,618,0.9,617,0.8,611,0.8,599,0.8,588,87,537,87,536,88,535,88,526,89,522,2542,2538,2533,2541,2523,23,22,21,19,17,12,63,10,51,9,45,0.14,1,0.14,1,0.14,1,0.55,4,3.31,24,0.97,7,1.24,9,2.21,16,2.62,19,2.07,15,0.97,7,0.97,7,1.93,14,0.55,4,0,0,0.3,2,0.2,1,0.7,4,263534,256514,0.16,1,0.16,1,0,0,0.34,2,0,0,89,15,87,8,,
310,2,822,2,822,2,820,2,817,2,815,84,693,84,693,84,691,84,688,84,686,2331,2329,2328,2327,2320,19,18,17,15,13,15,104,14,98,13,90,0.25,1,0,0,0,0,0.74,3,0.49,2,0.49,2,0,0,1.48,6,1.48,6,1.48,6,1.23,5,1.97,8,1.72,7,1.48,6,0,0,0.7,6,0.5,4,0.7,6,229614,218771,0.12,1,0,0,0,0,0,0,0,0,90,7,100,0,1388,216
311,1.5,571,1.5,573,1.5,577,1.5,581,1.5,593,96,547,96,549,96,553,96,557,96,569,1290,1283,1278,1272,1256,63,62,61,59,57,54,295,46,256,52,292,0,0,0.26,1,0,0,0,0,0,0,0,0,0,0,3.34,13,3.08,12,3.08,12,5.14,20,1.54,6,1.54,6,4.11,16,0.2,1,0.6,3,0.6,3,1,5,88500,82917,4.19,24,6.24,36,5.85,34,4.05,24,0,0,46,13,79,9,915,330
312,3,622,3,622,3,623,3,624,3,624,43,268,43,268,43,269,43,270,43,270,1422,1409,1410,1399,1395,48,47,46,44,42,33,88,31,83,31,83,0,0,0,0,0.48,1,0,0,0,0,0,0,0,0,3.39,7,0.48,1,0,0,0.97,2,0,0,0.48,1,0.97,2,1.5,4,1.9,5,1.9,5,3.4,9,73550,64400,4.98,31,5.62,35,17.95,112,17.47,109,23,143,24,8,68,13,739,206
313,0.9,575,0.9,575,0.9,575,0.9,575,0.9,575,78,449,78,449,78,449,78,449,78,449,1585,1585,1585,1584,1582,25,24,23,21,19,15,69,16,72,14,62,0,0,0,0,0,0,0,0,0,0,0,0,5.26,34,0.31,2,0.46,3,0.31,2,0.15,1,0.15,1,0.62,4,0.93,6,0.4,2,2.2,10,2.4,11,0.9,4,128938,125172,0.35,2,0.35,2,0.17,1,0.35,2,29,168,78,9,100,0,881,179
314,2.9,931,2.9,933,3,948,3,948,3,950,45,415,45,417,46,432,46,432,46,434,1341,1339,1332,1332,1331,60,59,58,56,54,27,112,29,124,29,126,1.57,5,1.25,4,0,0,0,0,0,0,0.31,1,0,0,5.64,18,3.76,12,3.45,11,2.19,7,4.07,13,2.82,9,1.88,6,0.5,2,0,0,1.4,6,0.5,2,170076,154422,2.47,23,6.22,59,4.11,39,2.21,21,0,0,34,9,92,7,775,113
315,1.6,395,1.6,397,1.7,396,1.6,395,1.3,320,70,278,71,280,70,279,70,278,87,278,1501,1492,1463,1445,1434,70,69,69,67,65,30,84,27,76,30,84,5.4,13,0.42,1,116.6,281,53.11,128,0,0,22.41,54,0,0,3.33,8,6.24,15,6.24,15,7.07,17,2.08,5,2.49,6,4.99,12,0.4,1,0.4,1,0,0,0,0,292047,291293,0.76,3,1.01,4,0.51,2,0.31,1,0,0,59,11,83,6,1023,160
316,3.4,1449,3.4,1449,3.4,1449,3.4,1449,3.4,1449,35,511,35,511,35,511,35,511,35,511,1777,1775,1775,1771,1771,47,46,45,43,41,18,93,19,98,18,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,5,2.09,9,2.78,12,0.7,3,1.16,5,0.93,4,1.85,8,0.6,3,1.8,9,1.4,7,1.6,8,114000,105357,1.73,25,1.66,24,1.1,16,1.38,20,0,0,25,4,92,4,790,
317,1.8,308,1.8,308,1.8,305,1.8,305,1.8,309,68,208,68,208,67,205,67,205,68,209,1124,1105,1096,1092,1108,67,67,67,65,63,56,116,54,110,54,110,0.59,1,0,0,1.76,3,0,0,0.59,1,0,0,0,0,4.72,8,2.36,4,4.13,7,2.36,4,0.59,1,0.59,1,1.18,2,1,2,1,2,1.5,3,1,2,62923,78143,2.92,9,4.59,14,1.31,4,1.29,4,32,99,44,17,92,14,851,320
318,2,771,1.8,693,1.8,692,1.8,692,1.8,693,85,659,95,659,95,658,95,658,95,659,2011,2008,2004,2002,1994,36,35,34,32,30,9,59,10,64,9,58,0.78,3,0,0,20.26,78,0.26,1,0,0,0.26,1,0,0,3.64,14,4.16,16,2.86,11,3.12,12,2.08,8,2.34,9,4.16,16,0,0,1,7,0.1,1,0.6,4,180359,184125,0.29,2,0.29,2,0.43,3,0.14,1,0,0,88,4,100,0,1317,197
319,1.5,1080,1.5,1081,1.5,1085,1.5,1086,1.4,1015,89,956,89,957,89,961,89,962,95,963,1529,1529,1528,1527,1521,35,34,33,31,29,15,142,15,140,14,134,38.04,273,0,0,0,0,0,0,0,0,0,0,0,0,2.23,16,1.25,9,1.81,13,1.81,13,0.97,7,1.39,10,1.39,10,0.6,6,1.4,13,0.9,9,1.2,11,122892,118229,0.74,8,0.83,9,0.74,8,0.49,5,5,52,86,8,95,4,1494,282
320,1.7,444,1.7,446,1.8,467,1.8,476,1.8,475,95,422,95,423,92,429,89,422,89,421,2127,2085,2023,1991,1975,49,49,49,48,46,17,72,17,72,18,78,6.06,16,3.03,8,2.65,7,1.52,4,2.27,6,0.76,2,1.14,3,7.2,19,10.23,27,11.37,30,7.96,21,7.2,19,6.82,18,6.82,18,0.2,1,0.7,3,0.5,2,1.7,7,373470,365160,0.45,2,0.43,2,0.63,3,0.21,1,0,0,84,12,71,9,965,88
321,2.2,475,2.2,478,2.2,477,2.2,473,2.2,481,64,306,64,308,65,308,64,305,65,313,1128,1289,1283,1283,1105,47,45,45,43,43,45,139,43,131,43,132,0.92,2,0,0,0,0,0,0,3.23,7,0.92,2,0,0,3.68,8,0.92,2,4.14,9,2.76,6,2.76,6,1.38,3,0,0,0.7,3,0.2,1,1,4,1.2,5,,,4.39,21,5.03,24,4.02,19,2.08,10,0,0,47,14,100,0,690,19
322,2.1,426,2.1,426,2.1,426,2.1,426,2.1,426,100,426,100,426,100,426,100,426,100,426,1572,1569,1567,1551,1551,30,29,28,27,25,26,111,25,107,26,111,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,2.51,5,5.02,10,1,2,1,2,1.5,3,3.01,6,2.51,5,1,4,2.2,9,1.2,5,1.9,8,107393,111050,1.17,5,1.41,6,1.17,5,1.17,5,0,0,63,13,91,8,1123,44
323,1.6,890,1.6,890,1.6,891,1.6,891,1.6,891,82,732,82,730,82,733,82,733,82,733,1534,1531,1528,1518,1516,38,37,36,34,32,25,183,24,178,23,169,0.18,1,0.53,3,0,0,0,0,0.18,1,0,0,0,0,2.31,13,2.31,13,1.77,10,1.24,7,0.89,5,2.13,12,2.13,12,1,8,2.3,18,1.3,10,1.1,9,96964,82825,0.79,7,1.35,12,1.23,11,0.79,7,10,85,64,9,97,1,1006,96
324,0.4,592,0.4,592,0.4,589,0.4,589,0.4,591,100,592,100,591,100,589,100,589,100,591,2792,2790,2797,2789,2762,29,28,27,25,23,10,61,10,61,12,69,0.07,1,0,0,0.07,1,0,0,0,0,0.15,2,0,0,0.73,10,0.95,13,0.8,11,1.17,16,0.73,10,1.17,16,0.37,5,0.2,1,0.7,4,0.9,5,1.5,9,248000,240537,0.68,4,1.02,6,1.53,9,4.91,29,0,0,90,8,95,6,1625,1440
325,1.9,1128,1.9,1128,1.9,1128,1.9,1119,1.9,1118,63,716,64,716,63,716,63,707,63,706,1867,1862,1857,1843,1842,44,43,42,41,39,18,127,18,129,17,118,0,0,0,0,0,0,0.33,2,1.34,8,0,0,0,0,2.34,14,1.67,10,2.17,13,1.67,10,0.33,2,2.34,14,1.84,11,0.5,5,1.1,11,1.8,18,1.5,15,119241,114061,1.42,16,1.33,15,0.98,11,0.63,7,3,36,72,9,78,9,772,42
326,2.7,410,2.7,411,2.7,410,2.7,411,2.7,413,60,247,60,248,60,247,60,248,60,249,1049,1050,1045,1044,1043,68,67,67,65,63,46,114,46,113,46,113,0,0,0,0,0,0,0.66,1,0,0,0,0,0,0,4.61,7,4.61,7,5.26,8,7.24,11,2.63,4,2.63,4,0.66,1,2.4,6,0.8,2,1.2,3,0.4,1,,,10.95,45,13.66,56,13.14,54,4.36,18,0,0,26,12,100,0,774,98
327,2.7,626,2.7,626,2.7,626,2.7,626,2.7,627,53,333,53,333,53,333,53,333,53,334,1244,1245,1245,1239,1238,51,50,49,47,45,31,103,30,99,29,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,11,3.48,8,2.61,6,3.48,8,3.04,7,1.3,3,1.3,3,0.5,2,1.5,6,1.5,6,1.5,6,,73889,3.51,22,2.72,17,2.56,16,1.28,8,0,0,35,11,100,0,693,373
