NPA,Housing_Density_2017,Housing_Units_2017,Housing_Density_2016,Housing_Units_2016,Housing_Density_2015,Housing_Units_2015,Housing_Density_2013,Housing_Units_2013,Housing_Density_2011,Housing_Units_2011,Single_Family_Housing_2017,Single_Family_Units_2017,Single_Family_Housing_2016,Single_Family_Units_2016,Single_Family_Housing_2015,Single_Family_Units_2015,Single_Family_Housing_2013,Single_Family_Units_2013,Single_Family_Housing_2011,Single_Family_Units_2011,Housing_Size_2017,Housing_Size_2016,Housing_Size_2015,Housing_Size_2013,Housing_Size_2011,Housing_Age_2017,Housing_Age_2016,Housing_Age_2015,Housing_Age_2013,Housing_Age_2011,Rental_Houses_2016,Rental_Houses_Units_2016,Rental_Houses_2015,Rental_Houses_Units_2015,Rental_Houses_2013,Rental_Houses_Units_2013,New_Residential_2017,New_Residential_Permit_Units_2017,New_Residential_2016,New_Residential_Permit_Units_2016,New_Residential_2015,New_Residential_Permit_Units_2015,New_Residential_2014,New_Residential_Permit_Units_2014,New_Residential_2013,New_Residential_Permit_Units_2013,New_Residential_2012,New_Residential_Permit_Units_2012,New_Residential_2011,New_Residential_Permit_Units_2011,Residential_Renovation_2017,Residential_Renovation_Permit_Units_2017,Residential_Renovation_2016,Residential_Renovation_Permit_Units_2016,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Residential_Renovation_2014,Residential_Renovation_Permit_Units_2014,Residential_Renovation_2013,Residential_Renovation_Permit_Units_2013,Residential_Renovation_2012,Residential_Renovation_Permit_Units_2012,Residential_Renovation_2011,Residential_Renovation_Permit_Units_2011,Foreclosures_2016,Foreclosed_Units_2016,Foreclosures_2015,Foreclosed_Units_2015,Foreclosures_2013,Foreclosed_Units_2013,Foreclosures_2011,Foreclosed_Units_2011,Home_Sales_Price_2015,Home_Sales_Price_2013,Housing_Violations_2016,Housing_Violations_Total_2016,Housing_Violations_2015,Housing_Violations_Total_2015,Housing_Violations_2013,Housing_Violations_Total_2013,Housing_Violations_2011,Housing_Violations_Total_2011,Subsidized_Housing_2013,Subsidized_Housing_Units_2013,Home_Ownership_2015,Home_Ownership_moe_2015,Residential_Occupancy_2014,Residential_Occupancy_moe_2014,Rental_Costs_2014,Rental_Costs_moe_2014
241,1.3,742,1.3,739,1.3,738,1.3,739,1.3,738,85,631,85,628,85,627,85,628,85,627,3506,3463,3458,3447,3440,29,28,27,26,24,5,32,6,35,5,33,1.41,8,0.88,5,0.53,3,0.35,2,0,0,0,0,0,0,7.21,41,7.03,40,6.5,37,5.62,32,4.57,26,4.39,25,4.22,24,0,0,0.3,2,0.3,2,0,0,556644,568728,0,0,0,0,0,0,0.14,1,0,0,98,2,100,0,,
242,1.8,506,1.8,507,1.8,497,1.8,492,1.8,491,100,506,100,507,100,497,100,492,100,491,1981,1981,1987,2004,2003,14,13,13,11,9,23,117,20,99,15,76,0,0,0,0,2.15,6,1.43,4,1.79,5,0,0,0.36,1,0,0,0,0,1.07,3,0.36,1,0,0,3.58,10,0.72,2,2.4,12,3.2,16,2,10,1.4,7,132780,126045,0.2,1,0.6,3,0.2,1,0,0,0,0,98,6,100,0,,
243,0.1,46,0.1,46,0.1,46,0.1,46,0.1,47,100,46,100,46,100,46,100,46,100,47,2034,1957,1981,1916,1889,47,47,45,43,42,24,11,26,12,28,13,0,0,0.18,1,0.18,1,0,0,0,0,0,0,0,0,0.18,1,0,0,0,0,0.55,3,0,0,0,0,0.18,1,0,0,2.2,1,0,0,2.1,1,,,0,0,0,0,2.17,1,0,0,0,0,100,0,50,46,,
244,1,694,1,694,1,693,1,693,1,693,100,694,100,691,100,693,100,693,100,693,1689,1686,1688,1681,1676,27,26,25,23,21,19,129,18,124,17,117,0,0,0,0,0,0,0,0,0.14,1,0,0,0,0,1.15,8,1.01,7,0.86,6,0.86,6,0.58,4,0.86,6,0.43,3,1.2,8,1.3,9,0.9,6,1.9,13,132219,137441,0.29,2,0.43,3,0.29,2,0.29,2,0,0,75,9,94,4,1161,39
245,3.7,646,3.7,646,3.7,646,3.7,646,3.7,646,35,223,35,223,35,223,35,223,35,223,1628,1628,1628,1628,1626,45,44,43,41,39,30,66,26,59,28,62,0,0,2.27,4,0,0,0,0,0,0,2.27,4,0,0,1.14,2,2.27,4,2.27,4,0.57,1,1.14,2,1.71,3,1.14,2,0.5,1,1,2,1,2,1.5,3,136111,117900,1.7,11,0.31,2,0.46,3,0.31,2,7,48,24,14,94,7,688,110
246,4.2,1206,4.2,1206,4.2,1206,4.2,1206,4.2,1206,12,150,12,150,12,150,12,150,12,150,2045,2039,2038,2035,2038,45,44,43,41,39,21,31,21,32,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,3,2.46,7,1.41,4,1.05,3,1.41,4,2.11,6,0.7,2,0.9,6,1.4,9,2.9,19,3.1,20,107423,109714,1.33,16,1.49,18,0.66,8,0.5,6,0,0,35,8,92,3,815,106
247,3.5,453,3.5,453,3.5,453,3.5,454,3.5,454,3,13,3,13,3,13,3,14,3,14,1528,1528,1528,1519,1519,48,47,46,41,39,23,3,8,1,14,2,3.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,1,0,0,0,0,0,0,0,0,0,0,10,1,,,1.55,7,0.88,4,2.2,10,1.1,5,0,0,3,5,84,16,737,66
248,5.2,836,5.2,836,5.2,836,5.2,836,5.2,836,1,8,1,8,1,8,1,8,1,8,1056,1056,1056,1056,1056,35,34,33,31,29,100,8,38,3,100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,1,0,0,0.62,1,0,0,0,0,0,0,,,,,,,,,,,1.91,16,1.79,15,1.44,12,0.48,4,0,0,0,1,90,10,854,48
249,4.1,531,4.1,531,4.1,531,4.1,531,4.1,531,10,53,10,53,10,53,10,53,10,53,1382,1382,1381,1379,1379,48,47,46,44,42,43,23,42,22,45,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,6,1.56,2,1.56,2,0,0,0.78,1,1.9,1,0,0,1.9,1,0,0,,,1.32,7,1.32,7,1.88,10,3.01,16,0,0,3,4,95,6,648,33
250,2.1,674,2.1,674,2.1,674,2.1,674,2.1,672,47,318,47,318,47,318,47,318,47,316,2266,2264,2266,2266,2271,19,18,17,15,13,19,62,19,61,18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,3,0.92,3,0.92,3,0.62,2,1.54,5,0.31,1,0.31,1,0.9,6,2.5,17,1.9,13,2.1,14,127060,128056,0.15,1,0,0,0,0,0,0,0,0,67,13,93,8,1222,434
251,2.3,674,2.2,672,2.2,666,2.1,643,2,605,100,674,100,672,100,666,100,643,100,605,2448,2430,2426,2411,2375,14,13,13,11,10,19,126,18,117,14,91,6.67,20,1.33,4,1,3,5,15,15.67,47,163.33,490,6.33,19,1,3,2,6,2.67,8,1,3,1.33,4,1.33,4,2.67,8,0.7,5,0.8,5,2,13,1.7,10,204385,182636,0.3,2,0,0,0.31,2,0.17,1,0,0,73,8,100,0,1556,378
252,1.4,344,1.4,344,1.4,343,1.4,342,1.4,343,100,344,100,344,100,343,100,342,100,343,2326,2377,2383,2387,2382,26,25,24,22,21,12,41,12,42,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,7,3.26,8,0.81,2,2.85,7,0.81,2,1.22,3,1.22,3,0.6,2,0.6,2,0.6,2,1.2,4,178797,169904,0.58,2,0.87,3,0,0,0.29,1,0,0,90,5,81,8,,
253,1.4,866,1.3,866,1.3,866,1.3,865,1.3,863,57,495,57,495,57,495,57,494,57,494,2596,2594,2594,2600,2584,23,22,21,19,17,10,49,8,40,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0.15,1,1.87,12,3.11,20,1.7,11,2.16,14,2.16,14,1.55,10,3.71,24,0.3,2,0.2,1,0.5,3,1.2,7,287530,258367,0.12,1,0,0,0.12,1,0,0,0,0,68,10,93,5,1191,68
254,0.4,624,0.4,570,0.2,329,0.2,329,0.2,330,8,47,8,46,15,48,15,48,15,49,1439,1440,1420,1410,1409,54,53,52,50,48,48,22,50,24,48,23,0,0,0,0,0,0,0,0,22.05,312,0,0,0,0,0,0,0.21,3,0.07,1,0.07,1,0.07,1,0,0,0.14,2,0,0,0,0,0,0,2,1,,,0.18,1,0.3,1,0.91,3,0,0,0,0,20,19,86,19,901,101
255,2.6,1232,2.6,1232,2.6,1232,2.6,1232,2.6,1232,47,582,47,582,47,582,47,582,47,582,3205,3206,3207,3203,3199,21,20,19,17,15,6,33,6,35,5,30,0.21,1,40.91,194,0,0,0,0,0,0,0,0,0,0,1.69,8,4.64,22,4.01,19,2.32,11,5.06,24,7.38,35,4.01,19,0.2,2,0.3,3,0.3,3,0.2,2,296361,259181,0.08,1,0.08,1,0.16,2,0.08,1,0,0,73,6,81,9,1078,171
256,0.3,1370,0.3,1238,0.3,1132,0.3,1063,0.3,1013,100,1370,100,1235,100,1132,100,1063,100,1013,3637,3411,3362,3342,3281,18,19,20,19,19,18,225,20,222,20,217,22.33,915,4.12,169,4.49,184,3.27,134,1.2,49,0.9,37,0.66,27,2.12,87,1.29,53,1.34,55,0.83,34,0.78,32,0.85,35,0.73,30,0.2,3,0.7,8,1.1,12,0.9,9,455729,428356,0.16,2,0,0,0.19,2,0.2,2,0,0,81,8,89,4,2579,359
257,1.4,1636,1.2,1456,1.2,1460,1.2,1427,1.1,1263,34,556,38,556,38,561,39,561,44,561,2310,2282,2297,2303,2303,14,13,12,10,8,23,128,19,106,16,91,1.76,21,0.84,10,0.59,7,23.16,277,4.1,49,2.42,29,5.85,70,0.67,8,0.25,3,1.42,17,0.92,11,0.33,4,0.75,9,2.26,27,0.1,1,0.9,11,1.2,15,0.5,6,214705,229308,0,0,0,0,0.21,3,0,0,0,0,52,10,97,5,1693,53
258,1.3,1074,1.2,1031,1.2,1009,1.2,1009,1.2,1010,100,1073,100,1030,100,1008,100,1008,100,1010,1570,1511,1498,1492,1489,32,33,33,31,29,29,297,28,285,28,285,0,0,7.14,59,4.72,39,1.81,15,0,0,0.12,1,0,0,1.94,16,1.57,13,1.81,15,2.18,18,0.85,7,1.81,15,1.21,10,1.1,11,1.8,18,2.4,24,3.5,35,93804,98786,1.84,19,1.49,15,0.99,10,1.39,14,1,6,55,9,85,12,1090,113
259,2.4,981,2.4,981,2.4,981,2.4,983,2.4,981,60,592,60,592,60,592,60,594,60,592,1587,1587,1585,1583,1584,20,19,18,17,15,29,169,28,164,24,143,0.24,1,0.73,3,0,0,0,0,0,0,0,0,0,0,0.24,1,1.22,5,0.24,1,0.49,2,0.73,3,0,0,0.24,1,1.1,8,2.8,20,2.5,18,3.2,23,118932,117079,2.96,29,1.73,17,0.81,8,0,0,0,0,67,11,88,11,975,124
260,0.9,1254,0.9,1255,0.9,1251,0.9,1250,0.9,1251,86,1074,86,1073,86,1071,86,1070,86,1071,1658,1657,1651,1637,1635,34,33,32,30,28,26,276,27,288,26,275,0.07,1,0.14,2,0.14,2,0.28,4,0.21,3,0.07,1,0.07,1,0.71,10,0.85,12,1.07,15,1,14,0.43,6,0.57,8,0.92,13,0.6,6,1.6,17,1.5,16,1.8,19,97500,95733,0.88,11,1.04,13,1.04,13,0.4,5,6,76,69,10,82,11,792,209
261,1.6,861,1.6,860,1.6,860,1.6,860,1.6,860,100,861,100,860,100,860,100,860,100,860,1723,1716,1714,1714,1714,37,36,35,33,31,16,137,15,128,14,118,0,0,0,0,0.18,1,0,0,0,0,0,0,0,0,3.5,19,4.05,22,4.42,24,2.21,12,1.66,9,0.37,2,3.5,19,0.1,1,0.9,8,0.7,6,0.5,4,166022,149643,0.23,2,0.58,5,0.35,3,0.12,1,0,0,81,9,93,4,1313,110
262,1.2,1233,1.2,1233,1.2,1232,1.2,1231,1.2,1232,84,1039,84,1039,84,1038,84,1037,84,1038,3645,3643,3643,3636,3633,26,25,24,22,20,8,85,9,93,7,75,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,3.16,32,5.34,54,3.46,35,4.45,45,3.56,36,4.74,48,4.35,44,0.2,2,1.1,14,0.6,7,1.1,13,456737,412245,0.24,3,0.16,2,0.32,4,0.08,1,0,0,88,6,93,2,2300,1309
263,1.7,1065,1.7,1062,1.7,1051,1.6,1035,1.5,952,81,867,81,864,82,858,83,858,89,851,2634,2625,2612,2607,2604,30,29,28,27,25,7,63,7,58,9,74,0.48,3,0.79,5,0.48,3,1.74,11,1.74,11,2.85,18,0.16,1,3.64,23,8.08,51,5.23,33,3.49,22,2.53,16,3.96,25,3.01,19,0,0,0.3,3,0.9,9,0.2,2,340411,322612,0.09,1,0.19,2,0,0,0.11,1,0,0,95,4,95,4,2641,609
264,3.1,994,3,975,3,965,2.9,946,2.8,916,38,379,37,360,36,350,35,331,33,301,2671,2691,2679,2678,2716,20,20,20,19,19,7,25,6,21,6,20,0.31,1,0,0,5.54,18,4.62,15,7.08,23,5.23,17,3.38,11,2.15,7,3.38,11,2.46,8,1.84,6,1.84,6,0.61,2,0.92,3,0,0,0.8,4,1.2,6,1.5,7,178853,201319,0.31,3,0.21,2,0,0,0.22,2,0,0,46,13,93,9,1110,113
265,2,547,2,547,2,547,2,546,2,546,100,546,100,546,100,546,100,545,100,545,2092,2082,2086,2083,2080,23,22,21,19,17,15,80,12,68,13,70,0,0,0,0,0.72,2,0.36,1,0.36,1,0,0,0,0,1.45,4,1.81,5,0.72,2,1.09,3,1.09,3,0.36,1,3.26,9,0.2,1,2.2,12,1.1,6,0.9,5,163434,151278,0,0,0,0,0,0,0,0,0,0,87,9,95,2,1375,497
266,0.6,1109,0.6,1057,0.6,1056,0.6,1053,0.6,1057,100,1109,99,1050,100,1056,100,1053,100,1057,2000,1944,1934,1928,1921,22,22,21,19,18,21,217,19,201,17,175,0.21,4,1.92,36,1.39,26,0.11,2,0,0,0,0,0,0,0.37,7,0.43,8,0.75,14,0.43,8,0.27,5,0.16,3,0.32,6,0.2,2,1.9,20,1.2,13,1.7,18,153313,152526,0.19,2,0.09,1,0,0,0,0,0,0,69,11,97,3,1274,125
267,0.8,1646,0.8,1609,0.8,1598,0.8,1577,0.7,1472,100,1646,100,1609,100,1598,100,1577,100,1472,2153,2114,2092,2086,2033,15,15,14,12,11,18,296,16,253,13,203,4.73,94,1.76,35,1.81,36,0.75,15,1.11,22,3.27,65,2.46,49,0.65,13,1.06,21,1.21,24,0.45,9,0.45,9,0.6,12,1.31,26,0.1,2,0.9,15,1.2,19,1.5,22,192702,213961,0.12,2,0,0,0.06,1,0,0,0,0,79,12,100,0,1221,547
268,2.7,696,2.7,695,2.7,696,2.7,696,2.7,695,89,618,89,617,89,618,89,618,89,617,1635,1638,1636,1629,1626,34,33,32,30,28,24,145,22,135,21,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,4,1.17,3,2.34,6,0.78,2,0.78,2,1.56,4,2.73,7,1.3,8,3.1,19,1,6,2.6,16,112400,108775,1.15,8,0.57,4,0.43,3,0.43,3,11,78,73,14,95,7,907,341
269,2.7,1210,2.6,1205,2.6,1205,2.6,1199,2.6,1200,54,654,54,649,54,649,54,643,54,644,2439,2446,2430,2398,2387,31,30,29,28,26,15,97,14,93,16,103,2.19,10,1.97,9,0.66,3,1.31,6,1.53,7,0,0,0,0,5.91,27,5.03,23,3.72,17,4.81,22,2.84,13,3.06,14,5.91,27,0.1,1,0.5,4,0.3,2,0.7,6,369660,301006,0.25,3,0.08,1,0,0,0.08,1,0,0,70,5,92,5,939,74
270,6.7,598,6.6,598,6.7,598,6.7,598,6.7,598,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2.17,13,1.84,11,1.17,7,6.52,39,0,0,2,3,89,15,783,95
