NPA,Long_Commute_2014,Long_Commute_moe_2014,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2013,Sidewalk_Miles_2013,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
61,61,32,1.4,1.4,1.5,1.5,1.12,1.12,1.12,1.14,1.14,32.2,2.15,0,0,0,0,99,429,99,429,0,1,2,6,44,175
62,41,3,1.5,1.5,1.2,0,1.11,1.11,1.13,1.13,1.05,11.8,0.9,100,64,100,64,100,138,100,199,151,4820,197,6109,198,6533
64,70,9,1.2,1.3,1.3,0,1.21,1.21,1.23,1.26,1.21,19.4,2.36,100,2042,100,2064,100,1965,96,1889,6,12,11,22,9,19
65,56,15,1.3,1.3,1.6,1.6,1.27,1.27,1.27,1.45,1.43,12.9,1.23,92,860,70,860,83,896,73,716,,,,,25,25
66,37,13,1.2,1.2,1.3,1.2,1.12,1.12,1.12,1.13,1.15,36.5,2.7,100,1353,100,1353,100,1263,100,1256,55,164,167,836,123,986
67,100,17,1.4,1.3,1.3,1.3,1.14,1.15,1.15,1.15,1.15,44.7,1.74,100,643,100,643,100,631,100,323,,,,,,
68,65,15,1.2,1.2,1.2,1.2,1.09,1.09,1.09,1.09,1.09,40,5.93,61,689,61,693,61,693,61,689,20,184,15,108,36,107
69,17,11,1.6,1.5,1.5,1.5,1.18,1.16,1.16,1.16,1.16,52.8,4.01,94,675,93,591,100,755,100,754,1,3,2,4,3,24
70,46,15,1.7,1.8,1.8,1.9,1.32,1.32,1.32,1.38,1.38,46.3,4.33,100,521,100,521,100,523,100,522,257,2566,262,2624,254,2537
71,54,10,1.5,1.6,1.6,1.6,1.12,1.12,1.15,1.15,1.15,45.3,3.35,100,1425,100,1425,100,1417,100,1408,229,917,198,792,260,780
72,69,11,1.4,1.4,1.6,1.6,1.32,1.32,1.31,1.35,1.35,23.3,6.58,89,1007,90,1055,88,1035,76,427,222,2437,276,1929,231,1845
73,62,14,1.2,1.2,1.3,1.3,1.18,1.18,1.18,1.27,1.28,19.1,7.54,0,5,0,5,0,5,0,5,,,,,,
74,36,18,1.6,1.6,1.6,1.6,1.04,1.04,1.04,1.04,1.04,68,3.44,100,740,100,740,100,740,100,740,30,266,34,302,27,246
75,82,7,1.3,1.3,1.3,1.3,1.12,1.13,1.11,1.14,1.14,59.6,4.64,0,0,0,0,0,0,0,0,,,,,,
76,59,10,1.2,1.2,1.3,1.3,1.12,1.12,1.12,1.15,1.15,51,9.17,8,88,8,87,9,84,10,80,234,234,256,256,250,250
77,66,9,1.4,1.4,1.4,1.4,1.19,1.19,1.19,1.24,1.24,61,11.06,51,1134,65,1456,67,1416,67,1363,14,43,37,111,34,101
78,70,15,1.3,1.3,1.3,1.3,1.17,1.17,1.17,1.17,1.17,52.8,5.85,93,858,94,857,95,851,96,801,27,271,33,328,34,335
79,41,15,1.2,1.2,1.2,1.2,1,1,1,1.05,1.05,35.9,0.72,100,518,100,518,100,679,100,679,65,326,70,351,79,393
80,49,13,1.3,1.3,1.4,1.3,1.27,1.27,1.27,1.27,1.23,9.6,1.28,0,0,0,0,1,12,0,0,,,,,,
81,70,17,1.3,1.3,1.3,1.3,1.06,1.06,1.06,1.06,1.06,65.6,3.37,95,433,96,435,95,432,94,427,5,16,13,27,13,25
82,74,12,1.4,1.5,1.5,1.5,1.24,1.24,1.26,1.26,1.24,63,6.26,90,1022,91,818,91,818,91,818,12,36,12,37,14,41
83,55,16,1.1,1.1,1.2,1,1.02,1.02,1.02,1.05,1.04,3.8,0.76,0,0,0,0,0,0,0,0,,,,,,
84,60,29,1.3,1.3,1.4,1.2,1.16,1.16,1.17,1.27,1.23,8.6,2.04,20,48,22,59,0,0,0,0,20,20,0,0,,
85,66,20,2,1.9,2,1.9,1.26,1.26,1.26,1.26,1.26,58.8,4.6,100,769,100,771,100,776,100,781,188,1506,171,1540,175,1573
86,69,12,1.3,1.3,1.2,1.2,1,1,1,1,1,75.6,1.72,100,1116,100,1116,100,993,100,1050,75,522,89,621,98,686
87,61,25,1.6,1.6,1.6,1.6,1.15,1.15,1.15,1.15,1.15,79.3,4.08,100,681,100,682,100,684,100,690,235,1648,249,1742,251,1756
88,76,10,1.8,1.8,1.7,1.7,1.21,1.21,1.21,1.24,1.24,60.2,5.61,100,466,100,469,100,474,100,481,32,473,34,517,34,508
89,77,18,1.7,1.7,1.4,1.4,1.1,1.1,1.1,1.1,1.1,42,2.6,99,544,99,545,99,543,99,543,39,195,50,248,45,227
90,72,8,1.9,1.9,1.9,1.9,1.19,1.19,1.19,1.19,1.19,46.2,2.77,100,828,100,828,100,828,100,826,108,1398,127,1653,131,1706
91,66,13,1.4,1.3,1.2,1.3,1.07,1.07,1.07,1.08,1.08,26.9,1.83,68,568,67,564,67,564,67,563,0,0,0,0,0,1
92,50,10,1.3,1.3,1.4,1.3,1.31,1.31,1.31,1.31,1.31,21.9,1.96,100,1344,100,1330,100,1058,100,909,119,715,95,668,86,605
93,44,14,1.2,1.3,1.2,1.2,1.23,1.23,1.23,1.16,1.16,28.2,3.36,100,624,100,624,100,624,100,624,98,492,98,590,96,575
94,48,9,1.5,1.4,1.4,1.4,1.27,1.27,1.27,1.19,1.19,29.6,4.11,95,360,95,361,93,351,100,379,64,511,56,557,51,511
95,41,16,1.3,1.3,1.3,1.3,1.17,1.17,1.17,1.16,1.16,52.7,5.12,65,435,65,435,100,672,100,672,42,42,18,144,18,147
96,58,10,1.3,1.3,1.4,1.4,1.2,1.17,1.17,1.23,1.24,35.5,6.06,97,1812,97,1751,97,1469,96,1127,100,1004,102,1015,104,1035
97,60,9,1.3,1.3,1.3,1.3,1.07,1.08,1.08,1.08,1.08,47.5,5.72,66,1022,68,1055,68,1049,68,1049,67,134,99,199,100,201
98,80,15,1.1,1.1,1.1,1.1,1.08,1.08,1.07,1.09,1.09,44.2,6.51,61,593,60,567,59,546,2,16,20,20,19,19,1,1
99,57,8,1.5,1.5,1.5,1.5,1.22,1.22,1.22,1.22,1.22,37.5,3.49,95,612,95,610,95,610,95,609,30,212,54,324,65,453
100,70,19,1.2,1.3,1.2,1.3,1.05,1.05,1.05,1.06,1.05,52.6,6.29,100,699,98,690,100,701,100,701,63,1388,60,1384,60,1382
101,81,13,1.9,1.9,1.9,1.9,1.18,1.18,1.18,1.18,1.18,78.4,3.09,100,728,100,728,100,728,100,729,108,538,82,980,94,1127
102,54,1,1.1,1.1,1.2,1.1,1.02,1.02,1.02,1.02,1.02,37,1.97,100,525,100,524,100,523,100,524,7,20,10,29,8,25
103,68,11,1.4,1.5,1.5,1.4,1.14,1.14,1.08,1.08,1.08,68.1,2.51,100,480,100,480,100,481,100,479,729,1458,627,1882,130,259
105,54,11,1.5,1.5,1.5,1.5,1.31,1.31,1.32,1.32,1.32,36.2,2.76,94,737,92,585,91,477,89,387,6,13,6,12,5,10
106,75,23,1.4,1.4,1.4,1.4,1.12,1.12,1.12,1.12,1.12,62.3,2.42,100,729,100,729,100,729,100,729,23,251,25,280,28,305
107,67,16,1.4,1.4,1.4,1.2,1.16,1.16,1.15,1.15,1.15,18.1,0.97,100,675,100,1071,100,1071,100,1071,82,247,92,276,101,303
108,73,12,1.3,1.3,1.3,1.3,1.05,1.05,1.05,1.07,1.07,26,2.59,60,328,60,328,60,327,60,328,146,146,167,167,177,177
109,77,17,1.2,1.2,1.2,1.2,1.11,1.11,1.11,1.13,1.09,43.4,8.65,45,422,44,404,45,396,44,368,72,288,72,288,71,283
110,60,13,1.2,1.1,1.2,1.2,1.08,1.08,1.08,1.14,1.14,15.3,2.63,33,251,33,250,33,251,33,251,4,7,4,7,3,6
111,47,14,1.3,1.3,1.3,1.3,1.19,1.19,1.19,1.17,1.17,52.3,7.49,85,919,87,1004,85,931,88,786,28,114,1,5,3,3
112,63,22,1.2,1.2,1.3,1.2,1.13,1.14,1.14,1.22,1.21,11.9,2.25,0,0,0,0,0,0,0,0,,,,,,
113,50,9,1.3,1.3,1.4,1.4,1.09,1.09,1.1,1.14,1.15,43,9.07,5,79,5,76,6,76,6,76,,,,,,
114,52,29,1.3,1.4,1.3,1.4,1.15,1.13,1.13,1.16,1.19,43.1,4.72,100,441,100,424,100,426,100,546,8,210,10,208,11,241
115,81,15,1.6,1.5,1.5,1.4,1.31,1.31,1.31,1.29,1.31,83,16.3,0,0,0,0,0,0,0,0,,,,,,
116,46,11,1.4,1.3,1.4,1.4,1.29,1.29,1.29,1.32,1.32,28,12.14,97,1227,98,1211,98,1170,94,1056,782,38337,820,39345,879,39535
117,63,13,1.5,1.5,1.4,1.4,1.08,1.08,1.08,1.08,1.08,60.2,8.06,33,495,32,471,28,393,26,358,,,,,,
118,65,4,1.1,1.2,1.2,1.2,1.04,1.04,1.04,1.06,1.06,55.3,4.29,71,307,72,306,73,303,0,0,3,5,2,2,0,0
119,69,25,1.4,1.3,1.3,1.3,1.25,1.26,1.26,1.21,1.21,19.4,3.16,80,373,80,373,80,373,80,374,48,240,43,216,51,203
120,42,19,1.4,1.4,1.4,1.4,1.21,1.21,1.21,1.21,1.21,59.9,5.12,100,579,100,598,100,594,100,596,79,1259,79,1430,91,1463
121,69,20,1.5,1.5,1.6,1.5,1.18,1.18,1.18,1.21,1.19,28.6,3.69,100,824,100,826,100,825,100,826,55,935,68,1148,71,1210
122,,,1.1,1.1,1.3,1.3,1.15,1.14,1.12,1.26,1.28,13,3.39,0,,,,,,,,449,2694,340,2038,329,1971
123,68,17,1.4,1.4,1.4,1.4,1.16,1.16,1.16,1.2,1.2,47.8,7.6,99,1075,99,1074,99,1074,98,1072,92,3572,96,3753,97,3890
124,39,4,1.8,1.8,1.9,1.9,1.32,1.32,1.32,1.35,1.35,70,9.56,100,888,100,890,100,890,100,890,112,5036,122,5492,125,5607
125,42,11,1.5,1.5,1.5,1.4,1.2,1.19,1.19,1.19,1.19,27.8,6.84,34,368,35,370,33,343,33,341,66,332,43,214,42,169
126,76,42,1.4,1.5,1.6,1.5,1.32,1.3,1.35,1.47,1.35,41.6,2.17,100,290,100,251,100,189,100,41,146,582,157,629,161,644
127,74,15,1.4,1.3,1.3,1.3,1.08,1.08,1.08,1.1,1.12,54.5,4.48,99,975,99,974,99,975,99,975,431,5599,476,6191,429,5578
128,73,3,1.8,1.8,1.8,1.8,1.3,1.3,1.3,1.3,1.3,48.9,3.42,100,1042,100,1043,100,1044,100,1044,68,610,58,641,61,676
129,57,12,1.5,1.5,1.4,1.5,1.03,1.03,1.03,1.06,1.06,35.8,3.65,95,825,95,822,96,833,96,834,8,25,9,27,8,24
130,65,6,1.2,1.3,1.4,1.2,1.12,1.12,1.12,1.21,1.21,32.6,11.28,0,0,0,0,0,0,0,0,,,,,,
131,78,9,1.3,1.3,1.3,1.3,1.07,1.07,1.07,1.08,1.08,33.7,2.4,22,178,22,177,23,176,20,144,,,,,,
132,34,19,1.8,1.8,1.7,1.7,1.19,1.19,1.19,1.19,1.19,52.7,2.32,100,281,91,257,100,279,100,280,6,30,12,60,15,73
133,49,18,1.6,1.6,1.4,1.3,1.14,1.14,1.14,1.18,1.14,66.3,2.48,100,627,100,626,100,627,100,626,33,33,19,19,12,12
134,71,19,1.3,1.3,1.3,1.3,1.18,1.18,1.18,1.18,1.18,30.8,1,100,449,100,449,100,449,100,449,11,22,12,24,6,11
135,55,17,1.1,1.1,1.1,1,1,1,1,1,1,60.5,1.78,100,555,100,555,100,555,100,554,81,406,82,408,90,448
136,56,15,1.3,1.3,1.4,1.4,1.17,1.17,1.17,1.21,1.24,59.3,6.99,35,285,34,278,29,226,28,215,40,81,34,68,33,67
137,81,14,1.3,1.3,1.3,1.3,1.11,1.11,1.11,1.13,1.16,44.6,5.51,8,45,6,34,7,36,7,40,70,139,70,140,65,130
138,71,42,1.3,1.3,1.3,1.3,1.18,1.18,1.18,1.19,1.19,30.7,3.08,100,251,100,251,100,251,100,252,67,534,66,531,68,547
139,75,21,1.3,1.3,1.4,1.3,1.16,1.16,1.16,1.17,1.16,36.9,5.43,100,660,100,660,100,661,100,558,25,407,23,360,24,389
140,69,11,1.4,1.4,1.3,1.3,1.18,1.18,1.19,1.17,1.16,22.4,4.88,67,716,89,953,89,953,88,871,29,321,27,432,29,436
141,39,11,1.4,1.4,1.4,1.4,1.31,1.31,1.31,1.36,1.36,20,3.04,100,342,100,340,100,344,100,360,33,927,35,973,36,995
142,62,17,1.5,1.5,1.5,1.5,1.16,1.16,1.16,1.17,1.17,54.3,4.09,100,1299,100,1299,100,1299,100,1299,31,532,36,606,30,566
143,62,19,1.5,1.6,1.6,1.4,1.04,1.05,1.07,1.07,1.07,43.6,3.27,100,616,100,619,100,618,100,615,9,53,8,50,9,52
144,80,12,1,1.1,1,1.1,1.03,1.03,1.03,1.03,1.03,,,100,966,100,955,100,921,100,911,2,2,,,,
145,73,22,1.1,1.1,1.2,1.1,1.03,1.03,1.03,1.08,1.08,15.2,1.21,60,386,61,392,61,392,61,391,3,14,6,23,5,19
146,76,14,1.5,1.5,1.4,1.4,1.15,1.15,1.15,1.15,1.18,41.1,3.56,85,564,85,560,85,560,84,542,25,126,29,143,29,145
147,76,9,1.2,1.2,1.3,1.3,1.05,1.05,1.05,1.06,1.06,25.6,2.35,100,1083,100,1069,100,1060,100,1042,2,8,3,16,1,8
148,69,11,1.4,1.4,1.4,1.4,1.08,1.08,1.08,1.09,1.09,39,4.87,54,505,54,504,52,486,52,485,6,13,12,25,15,29
149,80,24,1.3,1.3,1.4,1.4,1.22,1.22,1.22,1.27,1.27,22.8,2.44,0,0,0,0,0,0,0,0,,,,,,
150,60,16,1.4,1.4,1.3,1.3,1.09,1.09,1.09,1.09,1.09,39.7,3.15,45,309,45,309,45,309,45,309,,,,,,
151,63,7,1.5,1.5,1.5,1.5,1.16,1.16,1.16,1.16,1.16,85.7,12.09,0,0,0,0,0,0,0,0,,,,,,
152,65,17,1.1,1.2,1.2,1.3,1.11,1.11,1.11,1.08,1.22,10.5,0.79,0,0,0,0,0,0,0,0,,,,,,
153,57,9,1.5,1.5,1.5,1.5,1.08,1.08,1.07,1.08,1.09,74.2,12.1,35,431,35,433,35,433,35,432,,,,,,
154,65,11,1.6,1.6,1.6,1.7,1.05,1.05,1.05,1.05,1.05,58.6,6.35,83,948,84,956,84,956,83,947,11,42,9,37,14,55
155,70,10,1.2,1.3,1.3,1.3,1.05,1.05,1.04,1.12,1.06,33.2,4.66,0,0,0,0,14,136,14,133,2,3,3,9,66,264
156,68,16,1.2,1.2,1.2,1.2,1.08,1.08,1.08,1.11,1.11,53.7,8.74,73,915,76,912,77,897,78,859,35,243,32,226,38,229
157,58,22,1.5,1.5,1.5,1.5,1.29,1.29,1.29,1.31,1.31,76.7,9.17,100,288,100,288,100,391,100,459,86,3610,88,3699,105,4393
158,50,11,1.4,1.4,1.4,1.4,1.1,1.1,1.1,1.19,1.18,47,8.74,65,837,65,835,67,862,68,856,18,346,20,379,20,375
159,54,13,1.8,1.8,1.8,1.8,1.25,1.25,1.25,1.27,1.29,36.2,2.51,100,397,100,389,100,381,100,374,43,608,47,707,52,781
160,48,10,1.3,1.3,1.3,1.3,1.13,1.13,1.13,1.15,1.15,31.4,5.41,100,1106,100,1107,100,1106,100,1107,35,657,28,636,32,746
161,56,16,1.3,1.3,1.2,1.1,1.12,1.13,1.13,1.08,1.08,42.6,2.42,93,1054,93,1054,93,1054,93,1061,127,380,145,434,147,442
162,73,12,1.4,1.4,1.4,1.4,1.08,1.08,1.08,1.08,1.08,40.3,3.8,100,696,100,696,100,700,100,701,54,700,57,744,26,337
163,31,8,1.8,1.8,1.8,1.8,1.44,1.44,1.44,1.46,1.48,97.9,7,100,528,100,544,100,540,100,539,45,627,35,559,31,493
164,58,4,2,1.9,1.9,2,1.27,1.27,1.28,1.28,1.2,73.2,9.1,100,1766,100,1744,100,1815,98,1794,126,2388,138,2614,147,2643
165,61,17,1.3,1.4,1.4,1.4,1.05,1.05,1.05,1.05,1.05,57.5,2.63,99,903,99,904,99,904,99,908,347,694,333,667,244,732
166,74,23,1.5,1.5,1.6,1.4,1.14,1.14,1.14,1.22,1.22,40.5,1.46,100,537,100,538,100,538,100,538,49,292,45,272,94,563
167,78,13,1.4,1.4,1.4,1.3,1,1,1,1,1,67,2.35,100,359,100,361,100,361,100,361,19,136,24,168,68,477
168,65,11,1.4,1.4,1.4,1.4,1.17,1.17,1.17,1.17,1.17,39.3,2.52,100,634,100,633,100,633,100,633,18,73,22,87,9,63
169,73,19,1.5,1.5,1.5,1.5,1.14,1.14,1.15,1.16,1.13,59.1,4.65,0,0,0,0,0,0,0,0,,,,,,
170,55,21,1.4,1.4,1.3,1.3,1.11,1.11,1.11,1.11,1.14,68.7,6,0,0,0,0,0,0,0,0,,,,,,
171,48,13,1.2,1.2,1.2,1.2,1.12,1.09,1.11,1.13,1.12,37,3.06,84,372,82,328,83,333,83,333,27,109,57,229,48,191
172,81,13,1.4,1.4,1.4,1.4,1.34,1.31,1.27,1.31,1.3,53.1,10.37,53,602,53,599,52,576,50,528,105,105,189,189,175,175
173,77,12,1.2,1.2,1.2,1.2,1.05,1.05,1.05,1.05,1.05,40.2,2.23,100,417,100,403,100,391,100,379,10,61,11,66,14,83
174,48,14,1.1,1.2,1.3,1.2,1.14,1.14,1.14,1.23,1.2,25,7.63,28,177,28,177,2,14,3,16,1,2,1,5,1,6
175,70,12,1.4,1.4,1.4,1.4,1.09,1.09,1.09,1.09,1.09,19.3,2.21,1,8,1,8,0,1,0,1,,,,,,
176,67,18,1.5,1.5,1.5,1.5,1.11,1.11,1.11,1.11,1.11,56.5,7.72,29,343,30,344,25,291,25,290,,,,,,
177,66,9,1.4,1.4,1.4,1.4,1.1,1.1,1.1,1.14,1.11,39,3.86,98,780,98,776,98,775,98,698,0,0,0,2,0,1
178,42,13,1.3,1.3,1.3,1.3,1.22,1.2,1.19,1.2,1.19,38.8,8.48,78,1025,76,891,72,742,72,742,16,409,19,464,20,483
179,47,13,1.7,1.6,1.6,1.6,1.16,1.16,1.16,1.16,1.16,38.5,4.63,72,478,73,485,73,484,73,484,6,48,10,77,12,95
180,68,24,1.4,1.4,1.4,1.4,1.11,1.11,1.11,1.11,1.11,62.7,4.42,92,476,94,476,94,455,95,441,59,235,54,272,49,246
181,69,8,1.5,1.5,1.4,1.4,1.07,1.07,1.07,1.07,1.07,53.7,7.93,70,892,70,887,54,662,54,659,3,29,4,36,3,23
182,61,29,1.5,1.5,1.5,1.6,1.26,1.26,1.26,1.32,1.32,62.6,4.67,100,268,100,268,100,268,100,268,36,641,37,668,36,650
183,75,34,1.4,1.4,1.3,1.4,1,1,1,1.03,1,65.7,3.06,98,342,98,343,98,344,98,340,17,100,15,92,25,150
184,42,8,2.1,2.1,2.1,2.2,1.36,1.36,1.36,1.4,1.4,62.9,4.53,100,689,100,691,100,690,100,867,,,,,,
185,40,13,1,1.1,1.1,1,1.03,1.03,1.04,1.04,1,53.5,1.79,100,1367,100,1366,100,1368,100,1368,37,224,44,263,43,257
186,66,12,1.5,1.4,1.4,1.3,1.07,1.07,1.07,1.07,1.07,58.8,6.59,73,602,73,602,73,605,69,571,83,417,93,463,84,418
187,63,5,1.3,1.3,1.3,1.3,1.07,1.07,1.07,1.07,1.07,53.4,2.97,0,0,0,0,0,0,0,0,,,,,,
188,55,26,1.2,1.2,1.2,1.2,1.15,1.15,1.15,1.14,1.14,35.9,3.13,0,0,0,0,0,0,0,0,,,,,,
189,81,27,1.6,1.6,1.6,1.6,1.05,1.05,1.05,1.05,1.05,77.1,2.06,100,453,92,418,92,418,92,419,,,,,,
190,100,23,1.5,1.5,1.5,1.4,1.19,1.19,1.19,1.23,1.23,37.2,4.18,100,382,98,374,98,374,98,376,18,303,18,309,19,327
191,58,17,1.4,1.3,1.3,1.4,1.07,1.07,1.07,1.07,1.07,39,4.13,23,216,23,216,23,218,23,219,,,,,,
192,54,15,1.2,1.2,1.2,1.2,1.18,1.18,1.19,1.21,1.21,39.4,8.24,85,873,87,831,89,807,90,761,9,85,15,123,17,135
193,20,8,1.6,1.5,1.4,1.5,1.19,1.19,1.19,1.19,1.21,35.7,2.68,100,567,100,567,100,569,100,570,9,100,12,131,12,128
194,72,11,1.2,1.2,1.2,1.2,1.05,1.05,1.06,1.06,1.05,46.7,6.93,71,723,71,718,58,581,15,149,6,24,4,17,0,1
195,57,12,1.1,1.2,1.3,1.3,1.17,1.15,1.14,1.25,1.21,46.2,5.65,0,0,0,0,0,0,0,0,,,,,,
196,68,13,1.3,1.3,1.3,1.3,1.11,1.14,1.14,1.18,1.18,53.3,5.31,87,640,87,628,87,625,87,626,28,113,54,218,53,212
197,62,6,1.4,1.5,1.4,1.4,1.13,1.13,1.13,1.13,1.14,28.9,2.33,88,871,88,871,88,875,87,867,21,103,21,106,4,21
198,64,8,1.4,1.4,1.4,1.3,1.09,1.09,1.09,1.09,1.09,48.5,3.14,100,816,100,815,100,806,100,693,10,157,11,158,10,152
199,49,13,1.3,1.3,1.4,1.2,1.16,1.16,1.16,1.18,1.18,36.1,3.97,100,1296,100,1296,100,1254,100,1248,175,1578,176,1586,161,1449
200,35,8,1.5,1.3,1.4,1.4,1.18,1.18,1.18,1.28,1.28,94.8,2.2,100,240,100,240,100,235,100,235,55,387,53,369,51,357
201,60,13,1.5,1.4,1.4,1.4,1.11,1.11,1.13,1.14,1.13,40.8,6.36,96,1104,96,1108,50,576,48,552,4,24,2,12,0,1
202,73,13,1.3,1.3,1.3,1.3,1,1,1,1.01,1.02,55.7,3.2,99,705,99,706,99,706,99,704,79,551,97,679,88,967
203,70,4,1.6,1.4,1.5,1.5,1.16,1.16,1.13,1.14,1.14,48.2,4.75,0,0,0,0,0,0,0,0,,,,,,
204,65,12,1.3,1.3,1.3,1.3,1.12,1.12,1.12,1.12,1.15,75.7,4.85,0,0,0,0,0,0,0,0,,,,,,
205,71,15,1.2,1.2,1.2,1.2,1.04,1.04,1.04,1.04,1,36.9,2.67,56,177,55,172,53,164,34,104,8,15,11,23,10,21
206,75,11,1.4,1.4,1.4,1.4,1.12,1.12,1.12,1.12,1.12,84.1,4.52,100,566,100,566,98,553,89,505,61,304,71,355,80,320
207,73,14,1.3,1.4,1.5,1.4,1.33,1.33,1.33,1.4,1.39,29.2,3.93,100,1494,100,1515,100,1044,100,988,51,461,41,406,39,388
208,34,10,1.6,1.6,1.6,1.6,1.2,1.2,1.2,1.2,1.2,36,4.35,97,706,97,711,100,721,100,717,2,19,3,32,3,50
209,63,12,1.3,1.3,1.4,1.4,1.14,1.14,1.14,1.22,1.21,50.2,7.94,68,988,66,759,66,711,67,702,52,261,47,234,41,207
210,49,9,1.7,1.7,1.7,1.1,1.08,1.08,1.1,1.1,1.1,51.9,2.8,74,1108,69,869,69,872,69,872,29,29,17,17,27,27
211,68,10,1.5,1.5,1.4,1.4,1.07,1.07,1.07,1.08,1.08,49.5,5.77,0,0,0,0,0,0,0,0,,,,,,
212,45,17,1.6,1.6,1.6,1.6,1.27,1.27,1.27,1.2,1.2,55.4,5.61,100,499,100,499,100,499,100,499,406,4871,444,4882,500,5002
213,59,14,1.5,1.6,1.6,1.6,1.11,1.14,1.17,1.17,1.17,46.9,3.62,100,602,100,629,100,627,100,626,7,70,8,78,16,126
215,47,13,1.5,1.4,1.4,1.4,1.09,1.09,1.09,1.09,1.09,53.9,3.68,78,255,78,254,78,252,78,253,2,10,3,16,3,18
216,54,15,1.5,1.5,1.4,1.5,1.02,1.02,1.02,1.02,1.02,36.1,1.79,100,362,100,359,100,362,100,361,1,10,2,16,3,18
217,79,15,1.5,1.5,1.5,1.5,1.08,1.08,1.08,1.08,1.08,34.4,3.09,90,455,90,453,90,449,90,448,2,5,4,11,3,10
218,62,12,1.5,1.5,1.6,1.7,1.04,1.04,1.04,1.06,1.06,46,4.85,90,963,91,1114,91,1118,91,1119,19,75,20,79,28,84
219,55,14,1.3,1.3,1.3,1.3,1.16,1.16,1.16,1.16,1.16,33.7,6.64,92,906,89,699,90,701,93,694,103,2368,97,2139,94,2256
220,78,11,1.5,1.5,1.5,1.3,1.11,1.11,1.11,1.19,1.19,,,52,341,52,344,52,344,52,344,,,,,,
221,73,20,1.2,1.2,1.2,1.2,1.15,1.15,1.15,1.16,1.18,31.6,2.93,51,594,43,442,43,427,42,422,,,,,,
222,65,12,1.5,1.6,1.5,1.5,1.11,1.11,1.11,1.11,1.11,35.7,2.85,89,601,89,599,89,600,89,601,8,23,7,22,6,19
223,65,22,1.5,1.5,1.5,1.5,1.22,1.22,1.22,1.22,1.22,40.7,3.17,100,665,100,673,100,673,100,676,17,135,19,152,24,192
224,42,11,1.3,1.3,1.4,1.4,1.12,1.12,1.12,1.12,1.12,46.8,4.21,96,1031,96,1031,28,302,28,300,9,9,4,4,,
225,89,8,1.4,1.4,1.6,1.2,1.16,1.17,1.15,1.19,1.18,14.6,1.3,0,0,0,0,0,0,0,0,,,,,,
226,51,12,1.5,1.5,1.5,1.5,1.11,1.11,1.11,1.11,1.11,44.7,1.54,100,476,100,476,100,476,100,477,14,42,24,72,32,96
227,72,16,1.2,1.2,1.2,1.2,1.04,1.04,1.04,1.07,1.07,32.4,3.17,45,382,45,382,46,382,0,0,0,0,1,1,0,0
228,58,12,1.5,1.5,1.7,1.4,1.2,1.25,1.28,1.32,1.39,34.2,2.38,0,0,0,0,0,0,0,0,,,,,,
229,80,21,1.2,1.2,1.2,1.2,1.19,1.19,1.19,1.21,1.2,18.4,4.19,16,138,18,136,19,135,12,74,0,0,1,1,0,0
230,23,4,1.6,1.6,1.6,1.6,1.29,1.29,1.28,1.28,1.28,48.5,3.2,100,1233,100,1234,100,1234,100,980,17,168,20,195,19,190
231,64,7,1.5,1.3,1.3,1.3,1.21,1.21,1.18,1.09,1.09,45.8,6.47,46,507,45,495,11,81,9,65,99,99,99,99,131,131
232,75,15,1.5,1.5,1.5,1.5,1.19,1.16,1.14,1.12,1.12,69.5,7.42,46,441,44,412,4,40,3,31,3,3,,,,
233,61,7,1.4,1.4,1.5,1.4,1.19,1.19,1.2,1.2,1.18,20.9,3.48,85,958,73,823,73,824,73,818,14,58,20,79,19,75
234,63,10,1.5,1.5,1.5,1.5,1.13,1.12,1.14,1.14,1.16,23.6,5.05,51,473,51,473,65,604,65,587,95,665,114,797,116,813
235,62,17,1.4,1.4,1.4,1.4,1.13,1.13,1.14,1.14,1.14,38.2,4.59,77,694,78,705,78,708,78,704,4,21,6,32,6,29
236,43,12,1.3,1.3,1.3,1.3,1.08,1.08,1.08,1.1,1.11,49.9,4.54,55,247,55,246,55,247,56,247,33,99,31,93,25,76
237,47,6,1.7,1.6,1.4,1.5,1.17,1.17,1.17,1.18,1.19,35.9,6.29,71,731,71,710,65,639,64,604,21,234,16,239,30,269
238,44,9,1.6,1.5,1.5,1.4,1.16,1.16,1.16,1.17,1.17,32.3,3.96,76,673,75,665,75,664,75,663,,,,,,
240,50,13,1.5,1.5,1.5,1.5,1.2,1.19,1.21,1.26,1.26,56,6.12,100,888,100,888,100,889,99,879,175,1047,133,1064,144,1154
241,60,8,1.5,1.5,1.5,1.5,1.09,1.09,1.09,1.09,1.09,52.9,6.54,55,403,54,401,54,402,54,402,0,0,0,0,0,0
