NPA,Long_Commute_2014,Long_Commute_moe_2014,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2013,Sidewalk_Miles_2013,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
402,69,12,1.1,1.1,1.2,,1.14,1.14,1.14,1.19,,11.6,2.47,0,0,0,0,0,0,1,6,,,,,,
403,74,8,1.3,1.3,1.3,,1.11,1.1,1.11,1.11,,,,10,72,11,71,10,65,29,178,68,68,118,118,26,103
404,63,6,1.3,1.3,1.3,,1.17,1.17,1.17,1.2,,64.1,6.41,99,845,98,828,98,829,84,713,8,34,11,43,11,42
405,60,13,1.4,1.4,1.7,,1.33,1.35,1.35,1.56,,84.9,12.52,34,470,34,471,34,471,34,471,,,,,,
406,68,16,1.2,1.2,1.3,,1.15,1.15,1.15,1.16,,13.5,2.77,9,82,10,82,8,68,22,169,,,,,2,4
407,75,18,1.3,1.3,1.3,,1.11,1.11,1.11,1.12,,,,26,185,26,184,26,185,26,183,6,6,6,11,9,18
408,71,6,1.5,1.5,1.5,,1.18,1.18,1.18,1.18,,,,47,503,47,503,47,498,75,770,0,1,0,2,1,7
409,66,12,1.4,1.4,1.4,,1.12,1.12,1.12,1.12,,57.8,11.36,26,275,26,275,26,269,26,263,2,4,3,7,4,8
410,69,9,2.2,2.2,2.2,,1.11,1.11,1.11,1.13,,61.8,3.72,97,974,97,972,97,973,97,963,1,6,3,11,3,13
411,59,13,1.9,1.9,2.2,,1.24,1.27,1.27,1.53,,84,8.44,26,164,27,165,27,165,25,154,1,2,1,2,1,2
412,47,18,1.5,1.5,1.3,,1.11,1.11,1.11,1.19,,8.6,1.32,2,4,2,4,1,2,1,2,,,,,,
413,77,14,1.5,1.5,1.1,,1.08,1.08,1.09,1.1,,48.4,8.23,11,129,10,127,18,214,16,192,2,8,4,18,2,12
416,56,12,2.1,2.1,1.5,,1.29,1.29,1.29,1.32,,66.6,5.07,100,893,100,893,100,893,100,893,575,1726,611,1832,267,1866
417,57,11,1.7,1.8,1.4,,1.23,1.23,1.25,1.28,,69.1,8.28,61,438,67,437,78,508,78,507,6,19,8,25,9,28
418,75,16,1.6,1.6,1.3,,1.24,1.24,1.24,1.26,,65.2,11.6,91,1063,90,1055,90,1055,91,1063,5,44,6,45,6,50
419,67,12,1.5,1.6,1.1,,1.04,1.04,1.04,1.02,,62.8,7.11,18,170,19,177,15,147,16,149,,,,,,
420,72,13,1.5,1.5,1.1,,1.11,1.1,1.1,1.1,,57.8,8.98,36,400,36,403,37,404,38,400,9,18,11,22,13,26
421,76,10,1.8,1.8,1.3,,1.31,1.31,1.3,1.3,,53.5,6.66,0,0,0,0,0,0,0,0,,,,,,
422,62,13,1.5,1.5,1.5,,1.32,1.32,1.32,1.37,,28.5,10.34,64,525,65,526,92,535,92,534,10,175,9,170,7,167
423,73,13,1.3,1.3,1.4,,1.16,1.17,1.17,1.26,,,,0,0,0,0,0,0,0,0,,,,,,
424,78,9,1,1.1,1.1,,1.06,1.04,1.05,1.06,,19.1,3.37,46,359,46,360,47,364,47,364,4,4,2,2,6,6
425,77,13,1,1.1,1.1,,1.07,1.02,1.02,1.1,,,,0,0,0,0,0,0,0,0,,,,,,
426,74,10,1,1.1,1.1,,1.04,1.04,1.04,1.04,,60.7,6.26,50,401,48,386,79,643,71,573,124,124,71,141,45,136
428,85,13,1.3,1.4,1.4,,1.12,1.12,1.12,1.16,,,,0,0,0,0,0,0,0,0,,,,,,
430,65,18,1.7,1.7,1.6,,1.26,1.26,1.27,1.31,,,,39,633,38,591,39,590,46,595,,,,,,
431,88,19,1.2,1.2,1.3,,1.04,1.04,1.04,1.06,,,,37,254,36,251,37,250,37,249,1,3,3,10,2,6
432,63,9,1.1,1.1,1.1,,1.06,1.06,1.08,1.09,,23.4,4.84,1,10,1,10,0,0,0,0,13,13,,,,
433,74,18,1.2,1.2,1.5,,1.07,1.07,1.07,1.14,,61.8,3.9,0,0,0,0,0,0,0,0,,,,,,
434,56,10,1.2,1.2,1.3,,1.17,1.17,1.17,1.29,,45.6,12.48,0,0,0,0,0,0,0,0,,,,,,
435,20,17,1.7,1.7,1.7,,1.12,1.12,1.12,1.12,,,,54,132,56,131,57,131,60,132,1,1,0,1,1,1
436,82,15,1.1,1.2,1.2,,1.04,1.04,1.04,1.04,,,,73,443,73,443,73,443,73,443,5,11,13,27,11,22
437,70,9,1.3,1.3,1.4,,1.3,1.29,1.28,1.41,,33.9,12.35,43,575,42,535,71,816,72,722,8,62,4,29,3,58
438,59,26,1.3,1.4,1.6,,1.31,1.31,1.34,1.51,,30.4,7.01,59,546,60,487,61,415,54,221,8,31,9,34,9,36
442,85,10,1.1,1.2,1.4,,1.03,1.03,1.03,1.09,,,,89,650,89,643,88,633,89,634,1,1,2,2,1,1
443,55,0,1.2,1.2,1.6,,0.97,0.97,1,1.02,,,,0,0,0,0,0,0,0,0,,,,,,
444,49,10,1.1,1.1,1.5,,1,1,1,1.08,,,,0,0,0,0,0,0,0,0,,,,,,
445,58,13,1.2,1.2,1.3,,1.06,1.06,1.06,1.06,,57.8,7.38,55,561,55,560,60,609,60,608,1,1,1,1,1,2
446,72,19,1.2,1.2,1.1,,1.12,1.12,1.12,1.12,,52.8,5.08,31,162,32,162,34,162,34,162,,,,,,
447,70,8,1.5,1.4,1.3,,1.38,1.37,1.32,1.32,,71,12.23,0,0,0,0,0,0,0,0,,,,,,
448,57,10,1.3,1.3,1.5,,1.32,1.32,1.32,1.46,,59,13.01,99,1582,99,1519,99,1473,93,1206,5,53,7,67,6,61
449,72,7,1.1,1.1,1.1,,1.08,1.08,1.08,1.08,,62.3,10.48,23,213,23,217,23,213,23,209,8,8,10,10,7,7
450,78,9,1.2,1.2,1.3,,1.22,1.22,1.22,1.26,,27.2,10.94,0,0,0,0,0,0,0,0,,,,,,
451,70,8,1.2,1.2,1.5,,1.21,1.21,1.21,1.34,,29.7,10.63,0,0,0,0,0,0,0,0,,,,,,
452,53,12,1.2,1.3,1.3,,1.23,1.23,1.22,1.25,,51.4,8.37,85,511,85,510,89,539,87,450,9,118,10,124,6,109
453,71,19,1.3,1.3,1.3,,1.18,1.18,1.18,1.19,,,,10,95,10,96,10,96,11,98,,,,,,
454,89,9,1.1,1.1,1.2,,1.03,1.03,1.03,1.08,,,,5,29,5,29,5,29,5,29,,,,,,
455,73,13,1.1,1.1,1.2,,1.07,1.07,1.07,1.15,,,,0,0,0,0,0,0,18,135,,,,,0,0
456,73,21,1.3,1.3,1.4,,1.25,1.25,1.28,1.29,,61.4,4.17,100,545,100,544,100,550,98,195,137,274,187,374,188,376
457,62,11,1,1,1.1,,1,1,1,1,,52.9,3.33,51,186,50,184,48,176,0,0,0,0,,,,
458,61,19,1.2,1.2,1.5,,1.2,1.2,1.2,1.33,,40.4,2.6,45,178,41,161,41,161,38,150,1,1,1,1,1,1
459,77,15,1.1,1.1,1.1,,1.04,1.04,1.04,1.05,,69.1,10.28,13,125,13,125,13,126,13,125,,,,,,
460,60,9,1.2,1.2,1.2,,1.16,1.16,1.15,1.17,,53.6,10.49,38,411,38,411,38,408,39,408,10,21,9,19,9,19
462,59,13,1.3,1.3,1.5,,1.22,1.24,1.23,1.37,,27.6,8.06,25,198,26,201,60,445,58,400,11,32,13,40,3,30
463,59,12,1.2,1.1,1.1,,1.08,1.08,1.08,1.09,,38,4.19,100,1009,100,1009,100,1011,100,1002,4,28,8,63,9,80
464,70,12,1.3,1.3,1.4,,1.33,1.33,1.32,1.32,,55.5,12.35,89,1131,89,1131,89,1133,90,1108,16,186,17,190,13,174
465,52,13,1.2,1.2,1.2,,1.11,1.11,1.11,1.14,,16.7,1.48,0,2,0,2,0,0,0,0,,,,,,
466,67,13,1.3,1.3,1.4,,1.25,1.29,1.29,1.32,,27.5,7.81,9,85,9,85,9,86,9,86,,,,,,
467,62,16,1.3,1.2,1.2,,1.16,1.16,1.16,1.19,,66.8,7.37,71,506,71,504,58,410,60,407,3,10,3,7,11,34
468,32,26,1.2,1.2,1.1,,0.98,0.98,1,1.05,,20.1,1.26,56,48,57,50,56,49,56,49,3,6,3,6,2,4
469,57,9,1.3,1.3,1.4,,1.25,1.25,1.25,1.37,,26.4,5.22,0,0,0,0,0,0,0,0,,,,,,
470,69,4,1.1,1.1,1.1,,1.07,1.07,1.07,1.09,,34.4,4.19,51,529,51,527,52,532,51,523,,,,,,
471,35,9,1.4,1.4,1.6,,1.28,1.28,1.28,1.34,,59,10.23,98,1248,98,1248,98,1252,98,1248,35,461,38,529,40,523
472,81,23,1.3,1.4,1.7,,1.12,1.13,1.13,1.13,,44.9,3.57,9,50,9,49,9,49,8,42,,,,,,
473,43,10,1.2,1.3,1.3,,1.19,1.19,1.27,1.3,,53.8,8.05,100,1038,100,1042,100,1028,100,1017,19,280,23,343,21,316
474,63,15,1.2,1.2,1.2,,1.16,1.16,1.16,1.18,,50,6.03,67,766,67,765,67,766,67,764,13,38,15,46,14,42
475,62,15,1.2,1.2,1.6,,1.2,1.19,1.18,1.23,,51.9,6.64,35,294,35,296,35,286,46,273,2,12,2,14,2,8
